Max_Rape,Kidnapping,STATES,year,DISTRICT
50,30,"ANDHRA PRADESH",2001,ADILABAD
23,30,"ANDHRA PRADESH",2001,ANANTAPUR
27,34,"ANDHRA PRADESH",2001,CHITTOOR
20,20,"ANDHRA PRADESH",2001,CUDDAPAH
23,26,"ANDHRA PRADESH",2001,"EAST GODAVARI"
0,0,"ANDHRA PRADESH",2001,"GUNTAKAL RLY."
54,51,"ANDHRA PRADESH",2001,GUNTUR
37,39,"ANDHRA PRADESH",2001,"HYDERABAD CITY"
56,49,"ANDHRA PRADESH",2001,KARIMNAGAR
47,30,"ANDHRA PRADESH",2001,KHAMMAM
37,21,"ANDHRA PRADESH",2001,KRISHNA
29,47,"ANDHRA PRADESH",2001,KURNOOL
59,27,"ANDHRA PRADESH",2001,MAHABOOBNAGAR
35,20,"ANDHRA PRADESH",2001,MEDAK
35,19,"ANDHRA PRADESH",2001,NALGONDA
46,80,"ANDHRA PRADESH",2001,NELLORE
21,21,"ANDHRA PRADESH",2001,NIZAMABAD
19,12,"ANDHRA PRADESH",2001,PRAKASHAM
72,83,"ANDHRA PRADESH",2001,"RANGA REDDY"
0,0,"ANDHRA PRADESH",2001,"SECUNDERABAD RLY."
8,12,"ANDHRA PRADESH",2001,SRIKAKULAM
25,48,"ANDHRA PRADESH",2001,VIJAYAWADA
1,0,"ANDHRA PRADESH",2001,"VIJAYAWADA RLY."
12,12,"ANDHRA PRADESH",2001,"VISAKHA RURAL"
13,6,"ANDHRA PRADESH",2001,VISAKHAPATNAM
8,2,"ANDHRA PRADESH",2001,VIZIANAGARAM
53,25,"ANDHRA PRADESH",2001,WARANGAL
61,21,"ANDHRA PRADESH",2001,"WEST GODAVARI"
871,765,"ANDHRA PRADESH",2001,TOTAL
1,2,"ARUNACHAL PRADESH",2001,CHANGLANG
2,4,"ARUNACHAL PRADESH",2001,"DIBANG VALLEY"
2,5,"ARUNACHAL PRADESH",2001,"KAMENG EAST"
0,2,"ARUNACHAL PRADESH",2001,"KAMENG WEST"
2,6,"ARUNACHAL PRADESH",2001,LOHIT
9,5,"ARUNACHAL PRADESH",2001,"PAPUM PARE"
5,7,"ARUNACHAL PRADESH",2001,"SIANG EAST"
2,5,"ARUNACHAL PRADESH",2001,"SIANG UPPER"
4,10,"ARUNACHAL PRADESH",2001,"SIANG WEST"
2,5,"ARUNACHAL PRADESH",2001,"SUBANSIRI LOWER"
2,1,"ARUNACHAL PRADESH",2001,"SUBANSIRI UPPER"
1,0,"ARUNACHAL PRADESH",2001,TAWANG
1,3,"ARUNACHAL PRADESH",2001,TIRAP
33,55,"ARUNACHAL PRADESH",2001,TOTAL
28,88,ASSAM,2001,BARPETA
20,21,ASSAM,2001,BONGAIGAON
0,0,ASSAM,2001,C.I.D.
45,74,ASSAM,2001,CACHAR
48,47,ASSAM,2001,DARRANG
42,20,ASSAM,2001,DHEMAJI
43,51,ASSAM,2001,DHUBRI
35,37,ASSAM,2001,DIBRUGARH
1,0,ASSAM,2001,G.R.P.
35,35,ASSAM,2001,GOALPARA
30,40,ASSAM,2001,GOLAGHAT
37,64,ASSAM,2001,"GUWAHATI CITY"
24,34,ASSAM,2001,HAILAKANDI
42,28,ASSAM,2001,JORHAT
21,65,ASSAM,2001,KAMRUP
5,15,ASSAM,2001,"KARBI ANGLONG"
33,8,ASSAM,2001,KARIMGANJ
14,12,ASSAM,2001,KOKRAJHAR
64,62,ASSAM,2001,LAKHIMPUR
23,37,ASSAM,2001,MORIGAON
2,4,ASSAM,2001,N.C.HILLS
51,109,ASSAM,2001,NAGAON
30,27,ASSAM,2001,NALBARI
3,0,ASSAM,2001,R.P.O.
47,64,ASSAM,2001,SIBSAGAR
53,80,ASSAM,2001,SONITPUR
41,48,ASSAM,2001,TINSUKIA
817,1070,ASSAM,2001,TOTAL
93,13,BIHAR,2001,ARARIA
0,0,BIHAR,2001,ARWAL
16,4,BIHAR,2001,AURANGABAD
25,6,BIHAR,2001,BAGAHA
34,10,BIHAR,2001,BANKA
13,7,BIHAR,2001,BEGUSARAI
20,23,BIHAR,2001,BETTIAH
10,12,BIHAR,2001,BHABHUA
35,9,BIHAR,2001,BHAGALPUR
22,13,BIHAR,2001,BHOJPUR
8,1,BIHAR,2001,BUXAR
19,16,BIHAR,2001,DARBHANGA
25,15,BIHAR,2001,GAYA
13,18,BIHAR,2001,GOPALGANJ
1,0,BIHAR,2001,"JAMALPUR RLY."
10,1,BIHAR,2001,JAMUI
6,5,BIHAR,2001,JEHANABAD
51,20,BIHAR,2001,KATIHAR
0,1,BIHAR,2001,"KATIHAR RLY."
5,6,BIHAR,2001,KHAGARIA
22,16,BIHAR,2001,KISHANGANJ
10,7,BIHAR,2001,LAKHISARAI
11,15,BIHAR,2001,MADHEPURA
13,11,BIHAR,2001,MADHUBANI
44,35,BIHAR,2001,MOTIHARI
11,15,BIHAR,2001,MUNGER
73,25,BIHAR,2001,MUZAFFARPUR
2,1,BIHAR,2001,"MUZAFFARPUR RLY."
40,12,BIHAR,2001,NALANDA
7,9,BIHAR,2001,NAUGACHIA
15,1,BIHAR,2001,NAWADAH
27,11,BIHAR,2001,PATNA
1,1,BIHAR,2001,"PATNA RLY."
39,23,BIHAR,2001,PURNEA
25,18,BIHAR,2001,ROHTAS
12,10,BIHAR,2001,SAHARSA
19,29,BIHAR,2001,SAMASTIPUR
20,15,BIHAR,2001,SARAN
3,1,BIHAR,2001,SHEIKHPURA
11,7,BIHAR,2001,SHEOHAR
23,20,BIHAR,2001,SITAMARHI
4,26,BIHAR,2001,SIWAN
30,2,BIHAR,2001,SUPAUL
20,28,BIHAR,2001,VAISHALI
888,518,BIHAR,2001,TOTAL
17,1,CHHATTISGARH,2001,BALRAMPUR
69,20,CHHATTISGARH,2001,BILASPUR
4,0,CHHATTISGARH,2001,BIZAPUR
19,8,CHHATTISGARH,2001,DANTEWARA
22,4,CHHATTISGARH,2001,DHAMTARI
144,42,CHHATTISGARH,2001,DURG
0,0,CHHATTISGARH,2001,"GRP RAIPUR"
59,4,CHHATTISGARH,2001,JAGDALPUR
29,6,CHHATTISGARH,2001,JANJGIR
36,2,CHHATTISGARH,2001,JASHPUR
42,4,CHHATTISGARH,2001,KANKER
35,0,CHHATTISGARH,2001,KAWARDHA
46,13,CHHATTISGARH,2001,KORBA
34,7,CHHATTISGARH,2001,KORIYA
43,7,CHHATTISGARH,2001,MAHASAMUND
53,6,CHHATTISGARH,2001,RAIGARH
104,28,CHHATTISGARH,2001,RAIPUR
58,3,CHHATTISGARH,2001,RAJNANDGAON
145,16,CHHATTISGARH,2001,SARGUJA
959,171,CHHATTISGARH,2001,TOTAL
4,1,GOA,2001,"NORTH GOA"
8,5,GOA,2001,"SOUTH GOA"
12,6,GOA,2001,TOTAL
39,117,GUJARAT,2001,"AHMEDABAD COMMR."
5,27,GUJARAT,2001,"AHMEDABAD RURAL"
1,1,GUJARAT,2001,AHWA-DANG
2,34,GUJARAT,2001,AMRELI
3,28,GUJARAT,2001,ANAND
4,34,GUJARAT,2001,BHARUCH
9,51,GUJARAT,2001,BHAVNAGAR
5,15,GUJARAT,2001,DAHOD
4,12,GUJARAT,2001,GANDHINAGAR
17,29,GUJARAT,2001,HIMATNAGAR
20,22,GUJARAT,2001,JAMNAGAR
14,39,GUJARAT,2001,JUNAGADH
11,30,GUJARAT,2001,"KHEDA NORTH"
2,22,GUJARAT,2001,KUTCH
4,49,GUJARAT,2001,MEHSANA
8,8,GUJARAT,2001,NARMADA
2,5,GUJARAT,2001,NAVSARI
18,35,GUJARAT,2001,PALANPUR
5,46,GUJARAT,2001,PANCHMAHAL
3,21,GUJARAT,2001,PATAN
6,5,GUJARAT,2001,PORBANDAR
5,38,GUJARAT,2001,"RAJKOT COMMR."
20,35,GUJARAT,2001,"RAJKOT RURAL"
11,37,GUJARAT,2001,"SURAT COMMR."
26,16,GUJARAT,2001,"SURAT RURAL"
11,24,GUJARAT,2001,SURENDRANAGAR
3,32,GUJARAT,2001,"VADODARA COMMR."
18,34,GUJARAT,2001,"VADODARA RURAL"
9,11,GUJARAT,2001,VALSAD
1,0,GUJARAT,2001,W.RLY
286,857,GUJARAT,2001,TOTAL
11,32,HARYANA,2001,AMBALA
10,7,HARYANA,2001,BHIWANI
37,53,HARYANA,2001,FARIDABAD
17,13,HARYANA,2001,FATEHABAD
0,2,HARYANA,2001,GRP
32,32,HARYANA,2001,GURGAON
10,18,HARYANA,2001,HISSAR
21,8,HARYANA,2001,JHAJJAR
21,8,HARYANA,2001,JIND
16,8,HARYANA,2001,KAITHAL
44,10,HARYANA,2001,KARNAL
31,14,HARYANA,2001,KURUKSHETRA
11,8,HARYANA,2001,MAHENDRAGARH
6,15,HARYANA,2001,PANCHKULA
38,10,HARYANA,2001,PANIPAT
11,11,HARYANA,2001,REWARI
28,6,HARYANA,2001,ROHTAK
17,7,HARYANA,2001,SIRSA
15,12,HARYANA,2001,SONIPAT
22,23,HARYANA,2001,YAMUNANAGAR
398,297,HARYANA,2001,TOTAL
5,9,"HIMACHAL PRADESH",2001,BILASPUR
12,15,"HIMACHAL PRADESH",2001,CHAMBA
0,0,"HIMACHAL PRADESH",2001,G.R.P.
3,3,"HIMACHAL PRADESH",2001,HAMIRPUR
18,21,"HIMACHAL PRADESH",2001,KANGRA
6,3,"HIMACHAL PRADESH",2001,KINNAUR
13,6,"HIMACHAL PRADESH",2001,KULLU
2,1,"HIMACHAL PRADESH",2001,LAHAUL-SPITI
16,10,"HIMACHAL PRADESH",2001,MANDI
18,11,"HIMACHAL PRADESH",2001,SHIMLA
10,11,"HIMACHAL PRADESH",2001,SIRMAUR
12,10,"HIMACHAL PRADESH",2001,SOLAN
9,5,"HIMACHAL PRADESH",2001,UNA
124,105,"HIMACHAL PRADESH",2001,TOTAL
6,36,"JAMMU & KASHMIR",2001,ANANTNAG
1,13,"JAMMU & KASHMIR",2001,AWANTIPORA
28,59,"JAMMU & KASHMIR",2001,BARAMULLA
12,10,"JAMMU & KASHMIR",2001,BORDER
7,34,"JAMMU & KASHMIR",2001,BUDGAM
0,0,"JAMMU & KASHMIR",2001,"CRIME JAMMU"
0,0,"JAMMU & KASHMIR",2001,"CRIME SRINAGAR"
7,15,"JAMMU & KASHMIR",2001,DODA
5,31,"JAMMU & KASHMIR",2001,GANDERBAL
13,43,"JAMMU & KASHMIR",2001,JAMMU
0,1,"JAMMU & KASHMIR",2001,KARGIL
13,10,"JAMMU & KASHMIR",2001,KATHUA
6,31,"JAMMU & KASHMIR",2001,KULGAM
6,29,"JAMMU & KASHMIR",2001,KUPWARA
0,1,"JAMMU & KASHMIR",2001,LEH
13,10,"JAMMU & KASHMIR",2001,POONCH
7,33,"JAMMU & KASHMIR",2001,PULWAMA
0,0,"JAMMU & KASHMIR",2001,RAILWAYS
17,20,"JAMMU & KASHMIR",2001,RAJOURI
3,3,"JAMMU & KASHMIR",2001,RAMBAN
7,9,"JAMMU & KASHMIR",2001,REASI
8,102,"JAMMU & KASHMIR",2001,SRINAGAR
10,14,"JAMMU & KASHMIR",2001,UDHAMPUR
169,504,"JAMMU & KASHMIR",2001,TOTAL
26,32,JHARKHAND,2001,BOKARO
32,10,JHARKHAND,2001,CHAIBASA
6,3,JHARKHAND,2001,CHATRA
22,0,JHARKHAND,2001,DEOGHAR
32,45,JHARKHAND,2001,DHANBAD
2,0,JHARKHAND,2001,"DHANBAD RLY."
27,0,JHARKHAND,2001,DUMKA
11,2,JHARKHAND,2001,GARHWA
42,10,JHARKHAND,2001,GIRIDIH
37,26,JHARKHAND,2001,GODDA
29,11,JHARKHAND,2001,GUMLA
41,31,JHARKHAND,2001,HAZARIBAGH
50,51,JHARKHAND,2001,JAMSHEDPUR
1,0,JHARKHAND,2001,"JAMSHEDPUR RLY."
18,11,JHARKHAND,2001,JAMTARA
2,2,JHARKHAND,2001,KODERMA
12,2,JHARKHAND,2001,LATEHAR
12,8,JHARKHAND,2001,LOHARDAGGA
23,0,JHARKHAND,2001,PAKUR
15,2,JHARKHAND,2001,PALAMU
73,1,JHARKHAND,2001,RANCHI
20,5,JHARKHAND,2001,SAHEBGANJ
17,15,JHARKHAND,2001,SARAIKELA
17,12,JHARKHAND,2001,SIMDEGA
567,279,JHARKHAND,2001,TOTAL
2,7,KARNATAKA,2001,BAGALKOT
40,56,KARNATAKA,2001,"BANGALORE COMMR."
13,10,KARNATAKA,2001,"BANGALORE RURAL"
8,12,KARNATAKA,2001,BELGAUM
16,11,KARNATAKA,2001,BELLARY
7,10,KARNATAKA,2001,BIDAR
6,19,KARNATAKA,2001,BIJAPUR
4,5,KARNATAKA,2001,CHAMARAJNAGAR
8,7,KARNATAKA,2001,CHICKMAGALUR
18,0,KARNATAKA,2001,CHITRADURGA
3,6,KARNATAKA,2001,"DAKSHIN KANNADA"
22,13,KARNATAKA,2001,DAVANAGERE
4,4,KARNATAKA,2001,"DHARWAD COMMR."
3,2,KARNATAKA,2001,"DHARWAD RURAL"
2,2,KARNATAKA,2001,GADAG
20,21,KARNATAKA,2001,GULBARGA
20,0,KARNATAKA,2001,HASSAN
3,11,KARNATAKA,2001,HAVERI
1,7,KARNATAKA,2001,K.G.F.
4,4,KARNATAKA,2001,KODAGU
17,18,KARNATAKA,2001,KOLAR
6,12,KARNATAKA,2001,KOPPAL
15,1,KARNATAKA,2001,MANDYA
2,7,KARNATAKA,2001,"MYSORE COMMR."
12,4,KARNATAKA,2001,"MYSORE RURAL"
12,5,KARNATAKA,2001,RAICHUR
1,0,KARNATAKA,2001,RAILWAYS
12,10,KARNATAKA,2001,SHIMOGA
6,4,KARNATAKA,2001,TUMKUR
2,0,KARNATAKA,2001,UDUPI
4,3,KARNATAKA,2001,"UTTAR KANNADA"
293,271,KARNATAKA,2001,TOTAL
21,6,KERALA,2001,ALAPUZHA
2,0,KERALA,2001,CBCID
38,7,KERALA,2001,ERNAKULAM
34,0,KERALA,2001,IDUKKI
42,7,KERALA,2001,KANNUR
28,1,KERALA,2001,KASARGOD
55,9,KERALA,2001,KOLLAM
22,12,KERALA,2001,KOTTAYAM
39,10,KERALA,2001,KOZHIKODE
71,4,KERALA,2001,MALAPPURAM
63,10,KERALA,2001,PALAKKAD
12,0,KERALA,2001,PATHANAMTHITTA
1,0,KERALA,2001,RAILWAYS
42,9,KERALA,2001,THRISSUR
57,21,KERALA,2001,TRIVANDRUM
35,1,KERALA,2001,WAYANADU
562,97,KERALA,2001,TOTAL
87,11,"MADHYA PRADESH",2001,BALAGHAT
34,2,"MADHYA PRADESH",2001,BARWANI
95,16,"MADHYA PRADESH",2001,BETUL
31,20,"MADHYA PRADESH",2001,BHIND
106,48,"MADHYA PRADESH",2001,BHOPAL
1,2,"MADHYA PRADESH",2001,"BHOPAL RLY."
65,23,"MADHYA PRADESH",2001,CHHATARPUR
93,16,"MADHYA PRADESH",2001,CHHINDWARA
66,10,"MADHYA PRADESH",2001,DAMOH
12,8,"MADHYA PRADESH",2001,DATIYA
78,11,"MADHYA PRADESH",2001,DEWAS
68,18,"MADHYA PRADESH",2001,DHAR
20,2,"MADHYA PRADESH",2001,DINDORI
124,15,"MADHYA PRADESH",2001,GUNA
59,22,"MADHYA PRADESH",2001,GWALIOR
28,2,"MADHYA PRADESH",2001,HARDA
65,13,"MADHYA PRADESH",2001,HOSHANGABAD
84,35,"MADHYA PRADESH",2001,INDORE
2,0,"MADHYA PRADESH",2001,"INDORE RLY."
108,20,"MADHYA PRADESH",2001,JABALPUR
0,0,"MADHYA PRADESH",2001,"JABALPUR RLY."
44,80,"MADHYA PRADESH",2001,JHABUA
25,3,"MADHYA PRADESH",2001,KATNI
63,12,"MADHYA PRADESH",2001,KHANDWA
47,14,"MADHYA PRADESH",2001,KHARGON
64,9,"MADHYA PRADESH",2001,MANDLA
41,8,"MADHYA PRADESH",2001,MANDSAUR
35,18,"MADHYA PRADESH",2001,MORENA
70,4,"MADHYA PRADESH",2001,NARSINGHPUR
37,7,"MADHYA PRADESH",2001,NEEMUCH
44,10,"MADHYA PRADESH",2001,PANNA
79,9,"MADHYA PRADESH",2001,RAISEN
95,9,"MADHYA PRADESH",2001,RAJGARH
70,13,"MADHYA PRADESH",2001,RATLAM
31,18,"MADHYA PRADESH",2001,REWA
141,16,"MADHYA PRADESH",2001,SAGAR
58,5,"MADHYA PRADESH",2001,SATNA
52,2,"MADHYA PRADESH",2001,SEONI
63,13,"MADHYA PRADESH",2001,SHAHDOL
90,8,"MADHYA PRADESH",2001,SHAJAPUR
21,3,"MADHYA PRADESH",2001,SHEOPUR
72,11,"MADHYA PRADESH",2001,SHIVPURI
42,30,"MADHYA PRADESH",2001,SIDHI
59,27,"MADHYA PRADESH",2001,SIHORE
86,4,"MADHYA PRADESH",2001,TIKAMGARH
59,33,"MADHYA PRADESH",2001,UJJAIN
25,2,"MADHYA PRADESH",2001,UMARIYA
112,6,"MADHYA PRADESH",2001,VIDISHA
2851,668,"MADHYA PRADESH",2001,TOTAL
44,25,MAHARASHTRA,2001,AHMEDNAGAR
15,14,MAHARASHTRA,2001,AKOLA
23,23,MAHARASHTRA,2001,"AMRAVATI COMMR."
42,25,MAHARASHTRA,2001,"AMRAVATI RURAL"
14,14,MAHARASHTRA,2001,"AURANGABAD COMMR."
28,6,MAHARASHTRA,2001,"AURANGABAD RURAL"
22,15,MAHARASHTRA,2001,BEED
39,1,MAHARASHTRA,2001,BHANDARA
22,18,MAHARASHTRA,2001,BULDHANA
43,7,MAHARASHTRA,2001,CHANDRAPUR
16,6,MAHARASHTRA,2001,DHULE
27,6,MAHARASHTRA,2001,GADCHIROLI
23,17,MAHARASHTRA,2001,GONDIA
20,8,MAHARASHTRA,2001,HINGOLI
19,12,MAHARASHTRA,2001,JALGAON
16,8,MAHARASHTRA,2001,JALNA
26,13,MAHARASHTRA,2001,KOLHAPUR
7,22,MAHARASHTRA,2001,LATUR
127,12,MAHARASHTRA,2001,MUMBAI
2,0,MAHARASHTRA,2001,"MUMBAI RLY."
39,51,MAHARASHTRA,2001,"NAGPUR COMMR."
2,0,MAHARASHTRA,2001,"NAGPUR RLY."
81,16,MAHARASHTRA,2001,"NAGPUR RURAL"
23,36,MAHARASHTRA,2001,NANDED
16,6,MAHARASHTRA,2001,NANDURBAR
9,9,MAHARASHTRA,2001,"NASIK COMMR."
39,10,MAHARASHTRA,2001,"NASIK RURAL"
17,7,MAHARASHTRA,2001,"NAVI MUMBAI"
16,7,MAHARASHTRA,2001,OSMANABAD
25,16,MAHARASHTRA,2001,PARBHANI
56,28,MAHARASHTRA,2001,"PUNE COMMR."
0,0,MAHARASHTRA,2001,"PUNE RLY."
42,17,MAHARASHTRA,2001,"PUNE RURAL"
20,1,MAHARASHTRA,2001,RAIGAD
10,4,MAHARASHTRA,2001,RATNAGIRI
32,8,MAHARASHTRA,2001,SANGLI
32,7,MAHARASHTRA,2001,SATARA
7,2,MAHARASHTRA,2001,SINDHUDURG
16,11,MAHARASHTRA,2001,"SOLAPUR COMMR."
35,14,MAHARASHTRA,2001,"SOLAPUR RURAL"
39,37,MAHARASHTRA,2001,"THANE COMMR."
65,16,MAHARASHTRA,2001,"THANE RURAL"
35,12,MAHARASHTRA,2001,WARDHA
15,13,MAHARASHTRA,2001,WASHIM
56,31,MAHARASHTRA,2001,YAVATMAL
1302,611,MAHARASHTRA,2001,TOTAL
1,3,MANIPUR,2001,BISHNUPUR
0,1,MANIPUR,2001,CHANDEL
1,0,MANIPUR,2001,CHURACHANDPUR
7,6,MANIPUR,2001,IMPHAL(EAST)
7,37,MANIPUR,2001,IMPHAL(WEST)
0,0,MANIPUR,2001,SENAPATI
0,0,MANIPUR,2001,TAMENGLONG
4,14,MANIPUR,2001,THOUBAL
0,1,MANIPUR,2001,UKHRUL
20,62,MANIPUR,2001,TOTAL
2,0,MEGHALAYA,2001,"GARO HILLS EAST"
1,0,MEGHALAYA,2001,"GARO HILLS SOUTH"
5,0,MEGHALAYA,2001,"GARO HILLS WEST"
7,4,MEGHALAYA,2001,"JAINTIA HILLS"
5,5,MEGHALAYA,2001,"KHASI HILLS EAST"
4,0,MEGHALAYA,2001,"KHASI HILLS WEST"
2,2,MEGHALAYA,2001,RI-BHOI
26,11,MEGHALAYA,2001,TOTAL
26,0,MIZORAM,2001,AIZAWL
7,0,MIZORAM,2001,CHAMPHAI
6,0,MIZORAM,2001,KOLASIB
2,0,MIZORAM,2001,LAWNGTLAI
3,0,MIZORAM,2001,LUNGLEI
0,0,MIZORAM,2001,MAMIT
3,0,MIZORAM,2001,SAIHA
5,1,MIZORAM,2001,SERCHHIP
52,1,MIZORAM,2001,TOTAL
4,4,NAGALAND,2001,DIMAPUR
0,0,NAGALAND,2001,KIPHIRE
6,0,NAGALAND,2001,KOHIMA
1,0,NAGALAND,2001,MOKOKCHUNG
2,2,NAGALAND,2001,MON
0,0,NAGALAND,2001,PEREN
1,0,NAGALAND,2001,PHEK
0,0,NAGALAND,2001,TUENSANG
1,0,NAGALAND,2001,WOKHA
2,0,NAGALAND,2001,ZUNHEBOTO
17,6,NAGALAND,2001,TOTAL
33,5,ODISHA,2001,ANGUL
58,32,ODISHA,2001,BALASORE
19,8,ODISHA,2001,BARAGARH
10,10,ODISHA,2001,BERHAMPUR
35,18,ODISHA,2001,BHADRAK
19,16,ODISHA,2001,BOLANGIR
6,5,ODISHA,2001,BOUDH
34,33,ODISHA,2001,CUTTACK
8,4,ODISHA,2001,DEOGARH
15,7,ODISHA,2001,DHENKANAL
10,3,ODISHA,2001,GAJAPATI
22,10,ODISHA,2001,GANJAM
12,16,ODISHA,2001,JAGATSINGHPUR
24,14,ODISHA,2001,JAJPUR
12,5,ODISHA,2001,JHARSUGUDA
30,17,ODISHA,2001,KALAHANDI
34,25,ODISHA,2001,KANDHAMAL
11,15,ODISHA,2001,KENDRAPARA
38,19,ODISHA,2001,KEONJHAR
65,32,ODISHA,2001,KHURDA
38,13,ODISHA,2001,KORAPUT
14,5,ODISHA,2001,MALKANGIR
77,31,ODISHA,2001,MAYURBHANJ
17,18,ODISHA,2001,NAYAGARH
13,3,ODISHA,2001,NOWRANGPUR
9,2,ODISHA,2001,NUAPADA
41,24,ODISHA,2001,PURI
9,0,ODISHA,2001,RAYAGADA
12,6,ODISHA,2001,ROURKELA
18,9,ODISHA,2001,SAMBALPUR
8,4,ODISHA,2001,SONEPUR
1,3,ODISHA,2001,SRP(CUTTACK)
2,3,ODISHA,2001,SRP(ROURKELA)
36,19,ODISHA,2001,SUNDARGARH
790,434,ODISHA,2001,TOTAL
9,26,PUNJAB,2001,AMRITSAR
12,13,PUNJAB,2001,BARNALA
8,4,PUNJAB,2001,BATALA
13,9,PUNJAB,2001,BHATINDA
6,7,PUNJAB,2001,FARIDKOT
11,6,PUNJAB,2001,"FATEHGARH SAHIB"
22,7,PUNJAB,2001,FEROZEPUR
0,0,PUNJAB,2001,G.R.P
12,14,PUNJAB,2001,GURDASPUR
19,13,PUNJAB,2001,HOSHIARPUR
19,11,PUNJAB,2001,JAGRAON
21,49,PUNJAB,2001,JALANDHAR
8,9,PUNJAB,2001,KAPURTHALA
6,1,PUNJAB,2001,KHANNA
38,46,PUNJAB,2001,LUDHIANA
9,6,PUNJAB,2001,MAJITHA
6,4,PUNJAB,2001,MANSA
11,9,PUNJAB,2001,MOGA
3,2,PUNJAB,2001,MUKTSAR
11,8,PUNJAB,2001,"NAWAN SHAHR"
23,46,PUNJAB,2001,PATIALA
6,6,PUNJAB,2001,ROPAR
15,18,PUNJAB,2001,SANGRUR
10,10,PUNJAB,2001,"TARN TARAN"
298,324,PUNJAB,2001,TOTAL
16,125,RAJASTHAN,2001,AJMER
34,87,RAJASTHAN,2001,ALWAR
90,59,RAJASTHAN,2001,BANSWARA
81,94,RAJASTHAN,2001,BARAN
13,14,RAJASTHAN,2001,BARMER
48,103,RAJASTHAN,2001,BHARATPUR
42,223,RAJASTHAN,2001,BHILWARA
35,34,RAJASTHAN,2001,BIKANER
36,103,RAJASTHAN,2001,BUNDI
67,169,RAJASTHAN,2001,CHITTORGARH
24,14,RAJASTHAN,2001,CHURU
9,26,RAJASTHAN,2001,DAUSA
24,33,RAJASTHAN,2001,DHOLPUR
17,50,RAJASTHAN,2001,DUNGARPUR
1,4,RAJASTHAN,2001,G.R.P.
