Max_Rape,STATES,year,DISTRICT
50,"ANDHRA PRADESH",2001,ADILABAD
23,"ANDHRA PRADESH",2001,ANANTAPUR
27,"ANDHRA PRADESH",2001,CHITTOOR
20,"ANDHRA PRADESH",2001,CUDDAPAH
23,"ANDHRA PRADESH",2001,"EAST GODAVARI"
0,"ANDHRA PRADESH",2001,"GUNTAKAL RLY."
54,"ANDHRA PRADESH",2001,GUNTUR
37,"ANDHRA PRADESH",2001,"HYDERABAD CITY"
56,"ANDHRA PRADESH",2001,KARIMNAGAR
47,"ANDHRA PRADESH",2001,KHAMMAM
37,"ANDHRA PRADESH",2001,KRISHNA
29,"ANDHRA PRADESH",2001,KURNOOL
59,"ANDHRA PRADESH",2001,MAHABOOBNAGAR
35,"ANDHRA PRADESH",2001,MEDAK
35,"ANDHRA PRADESH",2001,NALGONDA
46,"ANDHRA PRADESH",2001,NELLORE
21,"ANDHRA PRADESH",2001,NIZAMABAD
19,"ANDHRA PRADESH",2001,PRAKASHAM
72,"ANDHRA PRADESH",2001,"RANGA REDDY"
0,"ANDHRA PRADESH",2001,"SECUNDERABAD RLY."
8,"ANDHRA PRADESH",2001,SRIKAKULAM
25,"ANDHRA PRADESH",2001,VIJAYAWADA
1,"ANDHRA PRADESH",2001,"VIJAYAWADA RLY."
12,"ANDHRA PRADESH",2001,"VISAKHA RURAL"
13,"ANDHRA PRADESH",2001,VISAKHAPATNAM
8,"ANDHRA PRADESH",2001,VIZIANAGARAM
53,"ANDHRA PRADESH",2001,WARANGAL
61,"ANDHRA PRADESH",2001,"WEST GODAVARI"
871,"ANDHRA PRADESH",2001,TOTAL
1,"ARUNACHAL PRADESH",2001,CHANGLANG
2,"ARUNACHAL PRADESH",2001,"DIBANG VALLEY"
2,"ARUNACHAL PRADESH",2001,"KAMENG EAST"
0,"ARUNACHAL PRADESH",2001,"KAMENG WEST"
2,"ARUNACHAL PRADESH",2001,LOHIT
9,"ARUNACHAL PRADESH",2001,"PAPUM PARE"
5,"ARUNACHAL PRADESH",2001,"SIANG EAST"
2,"ARUNACHAL PRADESH",2001,"SIANG UPPER"
4,"ARUNACHAL PRADESH",2001,"SIANG WEST"
2,"ARUNACHAL PRADESH",2001,"SUBANSIRI LOWER"
2,"ARUNACHAL PRADESH",2001,"SUBANSIRI UPPER"
1,"ARUNACHAL PRADESH",2001,TAWANG
1,"ARUNACHAL PRADESH",2001,TIRAP
33,"ARUNACHAL PRADESH",2001,TOTAL
28,ASSAM,2001,BARPETA
20,ASSAM,2001,BONGAIGAON
0,ASSAM,2001,C.I.D.
45,ASSAM,2001,CACHAR
48,ASSAM,2001,DARRANG
42,ASSAM,2001,DHEMAJI
43,ASSAM,2001,DHUBRI
35,ASSAM,2001,DIBRUGARH
1,ASSAM,2001,G.R.P.
35,ASSAM,2001,GOALPARA
30,ASSAM,2001,GOLAGHAT
37,ASSAM,2001,"GUWAHATI CITY"
24,ASSAM,2001,HAILAKANDI
42,ASSAM,2001,JORHAT
21,ASSAM,2001,KAMRUP
5,ASSAM,2001,"KARBI ANGLONG"
33,ASSAM,2001,KARIMGANJ
14,ASSAM,2001,KOKRAJHAR
64,ASSAM,2001,LAKHIMPUR
23,ASSAM,2001,MORIGAON
2,ASSAM,2001,N.C.HILLS
51,ASSAM,2001,NAGAON
30,ASSAM,2001,NALBARI
3,ASSAM,2001,R.P.O.
47,ASSAM,2001,SIBSAGAR
53,ASSAM,2001,SONITPUR
41,ASSAM,2001,TINSUKIA
817,ASSAM,2001,TOTAL
93,BIHAR,2001,ARARIA
0,BIHAR,2001,ARWAL
16,BIHAR,2001,AURANGABAD
25,BIHAR,2001,BAGAHA
34,BIHAR,2001,BANKA
13,BIHAR,2001,BEGUSARAI
20,BIHAR,2001,BETTIAH
10,BIHAR,2001,BHABHUA
35,BIHAR,2001,BHAGALPUR
22,BIHAR,2001,BHOJPUR
8,BIHAR,2001,BUXAR
19,BIHAR,2001,DARBHANGA
25,BIHAR,2001,GAYA
13,BIHAR,2001,GOPALGANJ
1,BIHAR,2001,"JAMALPUR RLY."
10,BIHAR,2001,JAMUI
6,BIHAR,2001,JEHANABAD
51,BIHAR,2001,KATIHAR
0,BIHAR,2001,"KATIHAR RLY."
5,BIHAR,2001,KHAGARIA
22,BIHAR,2001,KISHANGANJ
10,BIHAR,2001,LAKHISARAI
11,BIHAR,2001,MADHEPURA
13,BIHAR,2001,MADHUBANI
44,BIHAR,2001,MOTIHARI
11,BIHAR,2001,MUNGER
73,BIHAR,2001,MUZAFFARPUR
2,BIHAR,2001,"MUZAFFARPUR RLY."
40,BIHAR,2001,NALANDA
7,BIHAR,2001,NAUGACHIA
15,BIHAR,2001,NAWADAH
27,BIHAR,2001,PATNA
1,BIHAR,2001,"PATNA RLY."
39,BIHAR,2001,PURNEA
25,BIHAR,2001,ROHTAS
12,BIHAR,2001,SAHARSA
19,BIHAR,2001,SAMASTIPUR
20,BIHAR,2001,SARAN
3,BIHAR,2001,SHEIKHPURA
11,BIHAR,2001,SHEOHAR
23,BIHAR,2001,SITAMARHI
4,BIHAR,2001,SIWAN
30,BIHAR,2001,SUPAUL
20,BIHAR,2001,VAISHALI
888,BIHAR,2001,TOTAL
17,CHHATTISGARH,2001,BALRAMPUR
69,CHHATTISGARH,2001,BILASPUR
4,CHHATTISGARH,2001,BIZAPUR
19,CHHATTISGARH,2001,DANTEWARA
22,CHHATTISGARH,2001,DHAMTARI
144,CHHATTISGARH,2001,DURG
0,CHHATTISGARH,2001,"GRP RAIPUR"
59,CHHATTISGARH,2001,JAGDALPUR
29,CHHATTISGARH,2001,JANJGIR
36,CHHATTISGARH,2001,JASHPUR
42,CHHATTISGARH,2001,KANKER
35,CHHATTISGARH,2001,KAWARDHA
46,CHHATTISGARH,2001,KORBA
34,CHHATTISGARH,2001,KORIYA
43,CHHATTISGARH,2001,MAHASAMUND
53,CHHATTISGARH,2001,RAIGARH
104,CHHATTISGARH,2001,RAIPUR
58,CHHATTISGARH,2001,RAJNANDGAON
145,CHHATTISGARH,2001,SARGUJA
959,CHHATTISGARH,2001,TOTAL
4,GOA,2001,"NORTH GOA"
8,GOA,2001,"SOUTH GOA"
12,GOA,2001,TOTAL
39,GUJARAT,2001,"AHMEDABAD COMMR."
5,GUJARAT,2001,"AHMEDABAD RURAL"
1,GUJARAT,2001,AHWA-DANG
2,GUJARAT,2001,AMRELI
3,GUJARAT,2001,ANAND
4,GUJARAT,2001,BHARUCH
9,GUJARAT,2001,BHAVNAGAR
5,GUJARAT,2001,DAHOD
4,GUJARAT,2001,GANDHINAGAR
17,GUJARAT,2001,HIMATNAGAR
20,GUJARAT,2001,JAMNAGAR
14,GUJARAT,2001,JUNAGADH
11,GUJARAT,2001,"KHEDA NORTH"
2,GUJARAT,2001,KUTCH
4,GUJARAT,2001,MEHSANA
8,GUJARAT,2001,NARMADA
2,GUJARAT,2001,NAVSARI
18,GUJARAT,2001,PALANPUR
5,GUJARAT,2001,PANCHMAHAL
3,GUJARAT,2001,PATAN
6,GUJARAT,2001,PORBANDAR
5,GUJARAT,2001,"RAJKOT COMMR."
20,GUJARAT,2001,"RAJKOT RURAL"
11,GUJARAT,2001,"SURAT COMMR."
26,GUJARAT,2001,"SURAT RURAL"
11,GUJARAT,2001,SURENDRANAGAR
3,GUJARAT,2001,"VADODARA COMMR."
18,GUJARAT,2001,"VADODARA RURAL"
9,GUJARAT,2001,VALSAD
1,GUJARAT,2001,W.RLY
286,GUJARAT,2001,TOTAL
11,HARYANA,2001,AMBALA
10,HARYANA,2001,BHIWANI
37,HARYANA,2001,FARIDABAD
17,HARYANA,2001,FATEHABAD
0,HARYANA,2001,GRP
32,HARYANA,2001,GURGAON
10,HARYANA,2001,HISSAR
21,HARYANA,2001,JHAJJAR
21,HARYANA,2001,JIND
16,HARYANA,2001,KAITHAL
44,HARYANA,2001,KARNAL
31,HARYANA,2001,KURUKSHETRA
11,HARYANA,2001,MAHENDRAGARH
6,HARYANA,2001,PANCHKULA
38,HARYANA,2001,PANIPAT
11,HARYANA,2001,REWARI
28,HARYANA,2001,ROHTAK
17,HARYANA,2001,SIRSA
15,HARYANA,2001,SONIPAT
22,HARYANA,2001,YAMUNANAGAR
398,HARYANA,2001,TOTAL
5,"HIMACHAL PRADESH",2001,BILASPUR
12,"HIMACHAL PRADESH",2001,CHAMBA
0,"HIMACHAL PRADESH",2001,G.R.P.
3,"HIMACHAL PRADESH",2001,HAMIRPUR
18,"HIMACHAL PRADESH",2001,KANGRA
6,"HIMACHAL PRADESH",2001,KINNAUR
13,"HIMACHAL PRADESH",2001,KULLU
2,"HIMACHAL PRADESH",2001,LAHAUL-SPITI
16,"HIMACHAL PRADESH",2001,MANDI
18,"HIMACHAL PRADESH",2001,SHIMLA
10,"HIMACHAL PRADESH",2001,SIRMAUR
12,"HIMACHAL PRADESH",2001,SOLAN
9,"HIMACHAL PRADESH",2001,UNA
124,"HIMACHAL PRADESH",2001,TOTAL
6,"JAMMU & KASHMIR",2001,ANANTNAG
1,"JAMMU & KASHMIR",2001,AWANTIPORA
28,"JAMMU & KASHMIR",2001,BARAMULLA
12,"JAMMU & KASHMIR",2001,BORDER
7,"JAMMU & KASHMIR",2001,BUDGAM
0,"JAMMU & KASHMIR",2001,"CRIME JAMMU"
0,"JAMMU & KASHMIR",2001,"CRIME SRINAGAR"
7,"JAMMU & KASHMIR",2001,DODA
5,"JAMMU & KASHMIR",2001,GANDERBAL
13,"JAMMU & KASHMIR",2001,JAMMU
0,"JAMMU & KASHMIR",2001,KARGIL
13,"JAMMU & KASHMIR",2001,KATHUA
6,"JAMMU & KASHMIR",2001,KULGAM
6,"JAMMU & KASHMIR",2001,KUPWARA
0,"JAMMU & KASHMIR",2001,LEH
13,"JAMMU & KASHMIR",2001,POONCH
7,"JAMMU & KASHMIR",2001,PULWAMA
0,"JAMMU & KASHMIR",2001,RAILWAYS
17,"JAMMU & KASHMIR",2001,RAJOURI
3,"JAMMU & KASHMIR",2001,RAMBAN
7,"JAMMU & KASHMIR",2001,REASI
8,"JAMMU & KASHMIR",2001,SRINAGAR
10,"JAMMU & KASHMIR",2001,UDHAMPUR
169,"JAMMU & KASHMIR",2001,TOTAL
26,JHARKHAND,2001,BOKARO
32,JHARKHAND,2001,CHAIBASA
6,JHARKHAND,2001,CHATRA
22,JHARKHAND,2001,DEOGHAR
32,JHARKHAND,2001,DHANBAD
2,JHARKHAND,2001,"DHANBAD RLY."
27,JHARKHAND,2001,DUMKA
11,JHARKHAND,2001,GARHWA
42,JHARKHAND,2001,GIRIDIH
37,JHARKHAND,2001,GODDA
29,JHARKHAND,2001,GUMLA
41,JHARKHAND,2001,HAZARIBAGH
50,JHARKHAND,2001,JAMSHEDPUR
1,JHARKHAND,2001,"JAMSHEDPUR RLY."
18,JHARKHAND,2001,JAMTARA
2,JHARKHAND,2001,KODERMA
12,JHARKHAND,2001,LATEHAR
12,JHARKHAND,2001,LOHARDAGGA
23,JHARKHAND,2001,PAKUR
15,JHARKHAND,2001,PALAMU
73,JHARKHAND,2001,RANCHI
20,JHARKHAND,2001,SAHEBGANJ
17,JHARKHAND,2001,SARAIKELA
17,JHARKHAND,2001,SIMDEGA
567,JHARKHAND,2001,TOTAL
2,KARNATAKA,2001,BAGALKOT
40,KARNATAKA,2001,"BANGALORE COMMR."
13,KARNATAKA,2001,"BANGALORE RURAL"
8,KARNATAKA,2001,BELGAUM
16,KARNATAKA,2001,BELLARY
7,KARNATAKA,2001,BIDAR
6,KARNATAKA,2001,BIJAPUR
4,KARNATAKA,2001,CHAMARAJNAGAR
8,KARNATAKA,2001,CHICKMAGALUR
18,KARNATAKA,2001,CHITRADURGA
3,KARNATAKA,2001,"DAKSHIN KANNADA"
22,KARNATAKA,2001,DAVANAGERE
4,KARNATAKA,2001,"DHARWAD COMMR."
3,KARNATAKA,2001,"DHARWAD RURAL"
2,KARNATAKA,2001,GADAG
20,KARNATAKA,2001,GULBARGA
20,KARNATAKA,2001,HASSAN
3,KARNATAKA,2001,HAVERI
1,KARNATAKA,2001,K.G.F.
4,KARNATAKA,2001,KODAGU
17,KARNATAKA,2001,KOLAR
6,KARNATAKA,2001,KOPPAL
15,KARNATAKA,2001,MANDYA
2,KARNATAKA,2001,"MYSORE COMMR."
12,KARNATAKA,2001,"MYSORE RURAL"
12,KARNATAKA,2001,RAICHUR
1,KARNATAKA,2001,RAILWAYS
12,KARNATAKA,2001,SHIMOGA
6,KARNATAKA,2001,TUMKUR
2,KARNATAKA,2001,UDUPI
4,KARNATAKA,2001,"UTTAR KANNADA"
293,KARNATAKA,2001,TOTAL
21,KERALA,2001,ALAPUZHA
2,KERALA,2001,CBCID
38,KERALA,2001,ERNAKULAM
34,KERALA,2001,IDUKKI
42,KERALA,2001,KANNUR
28,KERALA,2001,KASARGOD
55,KERALA,2001,KOLLAM
22,KERALA,2001,KOTTAYAM
39,KERALA,2001,KOZHIKODE
71,KERALA,2001,MALAPPURAM
63,KERALA,2001,PALAKKAD
12,KERALA,2001,PATHANAMTHITTA
1,KERALA,2001,RAILWAYS
42,KERALA,2001,THRISSUR
57,KERALA,2001,TRIVANDRUM
35,KERALA,2001,WAYANADU
562,KERALA,2001,TOTAL
87,"MADHYA PRADESH",2001,BALAGHAT
34,"MADHYA PRADESH",2001,BARWANI
95,"MADHYA PRADESH",2001,BETUL
31,"MADHYA PRADESH",2001,BHIND
106,"MADHYA PRADESH",2001,BHOPAL
1,"MADHYA PRADESH",2001,"BHOPAL RLY."
65,"MADHYA PRADESH",2001,CHHATARPUR
93,"MADHYA PRADESH",2001,CHHINDWARA
66,"MADHYA PRADESH",2001,DAMOH
12,"MADHYA PRADESH",2001,DATIYA
78,"MADHYA PRADESH",2001,DEWAS
68,"MADHYA PRADESH",2001,DHAR
20,"MADHYA PRADESH",2001,DINDORI
124,"MADHYA PRADESH",2001,GUNA
59,"MADHYA PRADESH",2001,GWALIOR
28,"MADHYA PRADESH",2001,HARDA
65,"MADHYA PRADESH",2001,HOSHANGABAD
84,"MADHYA PRADESH",2001,INDORE
2,"MADHYA PRADESH",2001,"INDORE RLY."
108,"MADHYA PRADESH",2001,JABALPUR
0,"MADHYA PRADESH",2001,"JABALPUR RLY."
44,"MADHYA PRADESH",2001,JHABUA
25,"MADHYA PRADESH",2001,KATNI
63,"MADHYA PRADESH",2001,KHANDWA
47,"MADHYA PRADESH",2001,KHARGON
64,"MADHYA PRADESH",2001,MANDLA
41,"MADHYA PRADESH",2001,MANDSAUR
35,"MADHYA PRADESH",2001,MORENA
70,"MADHYA PRADESH",2001,NARSINGHPUR
37,"MADHYA PRADESH",2001,NEEMUCH
44,"MADHYA PRADESH",2001,PANNA
79,"MADHYA PRADESH",2001,RAISEN
95,"MADHYA PRADESH",2001,RAJGARH
70,"MADHYA PRADESH",2001,RATLAM
31,"MADHYA PRADESH",2001,REWA
141,"MADHYA PRADESH",2001,SAGAR
58,"MADHYA PRADESH",2001,SATNA
52,"MADHYA PRADESH",2001,SEONI
63,"MADHYA PRADESH",2001,SHAHDOL
90,"MADHYA PRADESH",2001,SHAJAPUR
21,"MADHYA PRADESH",2001,SHEOPUR
72,"MADHYA PRADESH",2001,SHIVPURI
42,"MADHYA PRADESH",2001,SIDHI
59,"MADHYA PRADESH",2001,SIHORE
86,"MADHYA PRADESH",2001,TIKAMGARH
59,"MADHYA PRADESH",2001,UJJAIN
25,"MADHYA PRADESH",2001,UMARIYA
112,"MADHYA PRADESH",2001,VIDISHA
2851,"MADHYA PRADESH",2001,TOTAL
44,MAHARASHTRA,2001,AHMEDNAGAR
15,MAHARASHTRA,2001,AKOLA
23,MAHARASHTRA,2001,"AMRAVATI COMMR."
42,MAHARASHTRA,2001,"AMRAVATI RURAL"
14,MAHARASHTRA,2001,"AURANGABAD COMMR."
28,MAHARASHTRA,2001,"AURANGABAD RURAL"
22,MAHARASHTRA,2001,BEED
39,MAHARASHTRA,2001,BHANDARA
22,MAHARASHTRA,2001,BULDHANA
43,MAHARASHTRA,2001,CHANDRAPUR
16,MAHARASHTRA,2001,DHULE
27,MAHARASHTRA,2001,GADCHIROLI
23,MAHARASHTRA,2001,GONDIA
20,MAHARASHTRA,2001,HINGOLI
19,MAHARASHTRA,2001,JALGAON
16,MAHARASHTRA,2001,JALNA
26,MAHARASHTRA,2001,KOLHAPUR
7,MAHARASHTRA,2001,LATUR
127,MAHARASHTRA,2001,MUMBAI
2,MAHARASHTRA,2001,"MUMBAI RLY."
39,MAHARASHTRA,2001,"NAGPUR COMMR."
2,MAHARASHTRA,2001,"NAGPUR RLY."
81,MAHARASHTRA,2001,"NAGPUR RURAL"
23,MAHARASHTRA,2001,NANDED
16,MAHARASHTRA,2001,NANDURBAR
9,MAHARASHTRA,2001,"NASIK COMMR."
39,MAHARASHTRA,2001,"NASIK RURAL"
17,MAHARASHTRA,2001,"NAVI MUMBAI"
16,MAHARASHTRA,2001,OSMANABAD
25,MAHARASHTRA,2001,PARBHANI
56,MAHARASHTRA,2001,"PUNE COMMR."
0,MAHARASHTRA,2001,"PUNE RLY."
42,MAHARASHTRA,2001,"PUNE RURAL"
20,MAHARASHTRA,2001,RAIGAD
10,MAHARASHTRA,2001,RATNAGIRI
32,MAHARASHTRA,2001,SANGLI
32,MAHARASHTRA,2001,SATARA
7,MAHARASHTRA,2001,SINDHUDURG
16,MAHARASHTRA,2001,"SOLAPUR COMMR."
35,MAHARASHTRA,2001,"SOLAPUR RURAL"
39,MAHARASHTRA,2001,"THANE COMMR."
65,MAHARASHTRA,2001,"THANE RURAL"
35,MAHARASHTRA,2001,WARDHA
15,MAHARASHTRA,2001,WASHIM
56,MAHARASHTRA,2001,YAVATMAL
1302,MAHARASHTRA,2001,TOTAL
1,MANIPUR,2001,BISHNUPUR
0,MANIPUR,2001,CHANDEL
1,MANIPUR,2001,CHURACHANDPUR
7,MANIPUR,2001,IMPHAL(EAST)
7,MANIPUR,2001,IMPHAL(WEST)
0,MANIPUR,2001,SENAPATI
0,MANIPUR,2001,TAMENGLONG
4,MANIPUR,2001,THOUBAL
0,MANIPUR,2001,UKHRUL
20,MANIPUR,2001,TOTAL
2,MEGHALAYA,2001,"GARO HILLS EAST"
1,MEGHALAYA,2001,"GARO HILLS SOUTH"
5,MEGHALAYA,2001,"GARO HILLS WEST"
7,MEGHALAYA,2001,"JAINTIA HILLS"
5,MEGHALAYA,2001,"KHASI HILLS EAST"
4,MEGHALAYA,2001,"KHASI HILLS WEST"
2,MEGHALAYA,2001,RI-BHOI
26,MEGHALAYA,2001,TOTAL
26,MIZORAM,2001,AIZAWL
7,MIZORAM,2001,CHAMPHAI
6,MIZORAM,2001,KOLASIB
2,MIZORAM,2001,LAWNGTLAI
3,MIZORAM,2001,LUNGLEI
0,MIZORAM,2001,MAMIT
3,MIZORAM,2001,SAIHA
5,MIZORAM,2001,SERCHHIP
52,MIZORAM,2001,TOTAL
4,NAGALAND,2001,DIMAPUR
0,NAGALAND,2001,KIPHIRE
6,NAGALAND,2001,KOHIMA
1,NAGALAND,2001,MOKOKCHUNG
2,NAGALAND,2001,MON
0,NAGALAND,2001,PEREN
1,NAGALAND,2001,PHEK
0,NAGALAND,2001,TUENSANG
1,NAGALAND,2001,WOKHA
2,NAGALAND,2001,ZUNHEBOTO
17,NAGALAND,2001,TOTAL
33,ODISHA,2001,ANGUL
58,ODISHA,2001,BALASORE
19,ODISHA,2001,BARAGARH
10,ODISHA,2001,BERHAMPUR
35,ODISHA,2001,BHADRAK
19,ODISHA,2001,BOLANGIR
6,ODISHA,2001,BOUDH
34,ODISHA,2001,CUTTACK
8,ODISHA,2001,DEOGARH
15,ODISHA,2001,DHENKANAL
10,ODISHA,2001,GAJAPATI
22,ODISHA,2001,GANJAM
12,ODISHA,2001,JAGATSINGHPUR
24,ODISHA,2001,JAJPUR
12,ODISHA,2001,JHARSUGUDA
30,ODISHA,2001,KALAHANDI
34,ODISHA,2001,KANDHAMAL
11,ODISHA,2001,KENDRAPARA
38,ODISHA,2001,KEONJHAR
65,ODISHA,2001,KHURDA
38,ODISHA,2001,KORAPUT
14,ODISHA,2001,MALKANGIR
77,ODISHA,2001,MAYURBHANJ
17,ODISHA,2001,NAYAGARH
13,ODISHA,2001,NOWRANGPUR
9,ODISHA,2001,NUAPADA
41,ODISHA,2001,PURI
9,ODISHA,2001,RAYAGADA
12,ODISHA,2001,ROURKELA
18,ODISHA,2001,SAMBALPUR
8,ODISHA,2001,SONEPUR
1,ODISHA,2001,SRP(CUTTACK)
2,ODISHA,2001,SRP(ROURKELA)
36,ODISHA,2001,SUNDARGARH
790,ODISHA,2001,TOTAL
9,PUNJAB,2001,AMRITSAR
12,PUNJAB,2001,BARNALA
8,PUNJAB,2001,BATALA
13,PUNJAB,2001,BHATINDA
6,PUNJAB,2001,FARIDKOT
11,PUNJAB,2001,"FATEHGARH SAHIB"
22,PUNJAB,2001,FEROZEPUR
0,PUNJAB,2001,G.R.P
12,PUNJAB,2001,GURDASPUR
19,PUNJAB,2001,HOSHIARPUR
19,PUNJAB,2001,JAGRAON
21,PUNJAB,2001,JALANDHAR
8,PUNJAB,2001,KAPURTHALA
6,PUNJAB,2001,KHANNA
38,PUNJAB,2001,LUDHIANA
9,PUNJAB,2001,MAJITHA
6,PUNJAB,2001,MANSA
11,PUNJAB,2001,MOGA
3,PUNJAB,2001,MUKTSAR
11,PUNJAB,2001,"NAWAN SHAHR"
23,PUNJAB,2001,PATIALA
6,PUNJAB,2001,ROPAR
15,PUNJAB,2001,SANGRUR
10,PUNJAB,2001,"TARN TARAN"
298,PUNJAB,2001,TOTAL
16,RAJASTHAN,2001,AJMER
34,RAJASTHAN,2001,ALWAR
90,RAJASTHAN,2001,BANSWARA
81,RAJASTHAN,2001,BARAN
13,RAJASTHAN,2001,BARMER
48,RAJASTHAN,2001,BHARATPUR
42,RAJASTHAN,2001,BHILWARA
35,RAJASTHAN,2001,BIKANER
36,RAJASTHAN,2001,BUNDI
67,RAJASTHAN,2001,CHITTORGARH
24,RAJASTHAN,2001,CHURU
9,RAJASTHAN,2001,DAUSA
24,RAJASTHAN,2001,DHOLPUR
17,RAJASTHAN,2001,DUNGARPUR
1,RAJASTHAN,2001,G.R.P.
