Max_Rape,STATES,year,DISTRICT
55,RAJASTHAN,2001,GANGANAGAR
35,RAJASTHAN,2001,HANUMANGARH
61,RAJASTHAN,2001,JAIPUR
2,RAJASTHAN,2001,JAISALMER
10,RAJASTHAN,2001,JALORE
65,RAJASTHAN,2001,JHALAWAR
19,RAJASTHAN,2001,JHUNJHUNU
20,RAJASTHAN,2001,JODHPUR
21,RAJASTHAN,2001,KARAULI
50,RAJASTHAN,2001,KOTA
22,RAJASTHAN,2001,NAGAUR
25,RAJASTHAN,2001,PALI
13,RAJASTHAN,2001,RAJSAMAND
19,RAJASTHAN,2001,"SAWAI MADHOPUR"
13,RAJASTHAN,2001,SIKAR
22,RAJASTHAN,2001,SIROHI
17,RAJASTHAN,2001,TONK
43,RAJASTHAN,2001,UDAIPUR
1049,RAJASTHAN,2001,TOTAL
7,SIKKIM,2001,EAST
0,SIKKIM,2001,NORTH
1,SIKKIM,2001,SOUTH
0,SIKKIM,2001,WEST
8,SIKKIM,2001,TOTAL
6,"TAMIL NADU",2001,ARIYALUR
20,"TAMIL NADU",2001,CHENGAI
28,"TAMIL NADU",2001,CHENNAI
0,"TAMIL NADU",2001,"CHENNAI RLY."
18,"TAMIL NADU",2001,"COIMBATORE RURAL"
4,"TAMIL NADU",2001,"COIMBATORE URBAN"
16,"TAMIL NADU",2001,CUDDALORE
17,"TAMIL NADU",2001,DHARMAPURI
14,"TAMIL NADU",2001,DINDIGUL
9,"TAMIL NADU",2001,ERODE
21,"TAMIL NADU",2001,KANCHIPURAM
6,"TAMIL NADU",2001,KANYAKUMARI
4,"TAMIL NADU",2001,KARUR
13,"TAMIL NADU",2001,"MADURAI RURAL"
2,"TAMIL NADU",2001,"MADURAI URBAN"
12,"TAMIL NADU",2001,NAGAPATTINAM
7,"TAMIL NADU",2001,NAMAKKAL
8,"TAMIL NADU",2001,NILGIRIS
3,"TAMIL NADU",2001,PERAMBALUR
5,"TAMIL NADU",2001,PUDUKOTTAI
13,"TAMIL NADU",2001,RAMNATHAPURAM
8,"TAMIL NADU",2001,"SALEM RURAL"
2,"TAMIL NADU",2001,"SALEM URBAN"
5,"TAMIL NADU",2001,SIVAGANGAI
0,"TAMIL NADU",2001,THANJAVUR
4,"TAMIL NADU",2001,THENI
57,"TAMIL NADU",2001,"THIRUNELVELI RURAL"
3,"TAMIL NADU",2001,"THIRUNELVELI URBAN"
16,"TAMIL NADU",2001,THIRUVALLUR
5,"TAMIL NADU",2001,THIRUVANNAMALAI
7,"TAMIL NADU",2001,THIRUVARUR
12,"TAMIL NADU",2001,THOOTHUGUDI
0,"TAMIL NADU",2001,"TRICHY RLY."
6,"TAMIL NADU",2001,"TRICHY RURAL"
5,"TAMIL NADU",2001,"TRICHY URBAN"
13,"TAMIL NADU",2001,VELLORE
37,"TAMIL NADU",2001,VILLUPURAM
17,"TAMIL NADU",2001,VIRUDHUNAGAR
423,"TAMIL NADU",2001,TOTAL
11,TRIPURA,2001,DHALAI
29,TRIPURA,2001,NORTH
29,TRIPURA,2001,SOUTH
33,TRIPURA,2001,WEST
102,TRIPURA,2001,TOTAL
66,"UTTAR PRADESH",2001,AGRA
50,"UTTAR PRADESH",2001,ALIGARH
42,"UTTAR PRADESH",2001,ALLAHABAD
19,"UTTAR PRADESH",2001,"AMBEDKAR NAGAR"
11,"UTTAR PRADESH",2001,AURAIYA
11,"UTTAR PRADESH",2001,AZAMGARH
47,"UTTAR PRADESH",2001,BADAUN
15,"UTTAR PRADESH",2001,BAGHPAT
14,"UTTAR PRADESH",2001,BAHRAICH
18,"UTTAR PRADESH",2001,BALLIA
8,"UTTAR PRADESH",2001,BALRAMPUR
27,"UTTAR PRADESH",2001,BANDA
41,"UTTAR PRADESH",2001,BARABANKI
93,"UTTAR PRADESH",2001,BAREILLY
18,"UTTAR PRADESH",2001,BASTI
38,"UTTAR PRADESH",2001,BIJNOR
31,"UTTAR PRADESH",2001,BULANDSHAHAR
4,"UTTAR PRADESH",2001,CHANDOLI
8,"UTTAR PRADESH",2001,"CHITRAKOOT DHAM"
7,"UTTAR PRADESH",2001,DEORIA
57,"UTTAR PRADESH",2001,ETAH
20,"UTTAR PRADESH",2001,ETAWAH
22,"UTTAR PRADESH",2001,FAIZABAD
9,"UTTAR PRADESH",2001,FATEHGARH
28,"UTTAR PRADESH",2001,FATEHPUR
22,"UTTAR PRADESH",2001,FIROZABAD
2,"UTTAR PRADESH",2001,G.R.P.
16,"UTTAR PRADESH",2001,"GAUTAMBUDH NAGAR"
31,"UTTAR PRADESH",2001,GHAZIABAD
6,"UTTAR PRADESH",2001,GHAZIPUR
18,"UTTAR PRADESH",2001,GONDA
13,"UTTAR PRADESH",2001,GORAKHPUR
14,"UTTAR PRADESH",2001,HAMIRPUR
70,"UTTAR PRADESH",2001,HARDOI
16,"UTTAR PRADESH",2001,HATHRAS
23,"UTTAR PRADESH",2001,J.P.NAGAR
6,"UTTAR PRADESH",2001,JALAUN
11,"UTTAR PRADESH",2001,JAUNPUR
18,"UTTAR PRADESH",2001,JHANSI
8,"UTTAR PRADESH",2001,KANNAUJ
21,"UTTAR PRADESH",2001,"KANPUR DEHAT"
47,"UTTAR PRADESH",2001,"KANPUR NAGAR"
26,"UTTAR PRADESH",2001,KAUSHAMBI
83,"UTTAR PRADESH",2001,KHIRI
7,"UTTAR PRADESH",2001,"KUSHI NAGAR"
20,"UTTAR PRADESH",2001,LALITPUR
62,"UTTAR PRADESH",2001,LUCKNOW
13,"UTTAR PRADESH",2001,MAHARAJGANJ
12,"UTTAR PRADESH",2001,MAHOBA
13,"UTTAR PRADESH",2001,MAINPURI
25,"UTTAR PRADESH",2001,MATHURA
17,"UTTAR PRADESH",2001,MAU
28,"UTTAR PRADESH",2001,MEERUT
16,"UTTAR PRADESH",2001,MIRZAPUR
44,"UTTAR PRADESH",2001,MORADABAD
54,"UTTAR PRADESH",2001,MUZAFFARNAGAR
64,"UTTAR PRADESH",2001,PILIBHIT
18,"UTTAR PRADESH",2001,PRATAPGARH
58,"UTTAR PRADESH",2001,RAIBAREILLY
22,"UTTAR PRADESH",2001,RAMPUR
41,"UTTAR PRADESH",2001,SAHARANPUR
9,"UTTAR PRADESH",2001,"SANT KABIRNAGAR"
55,"UTTAR PRADESH",2001,SHAHJAHANPUR
13,"UTTAR PRADESH",2001,SHRAWASTI
12,"UTTAR PRADESH",2001,SIDHARTHNAGAR
85,"UTTAR PRADESH",2001,SITAPUR
5,"UTTAR PRADESH",2001,SONBHADRA
1,"UTTAR PRADESH",2001,ST.RAVIDASNAGAR
29,"UTTAR PRADESH",2001,SULTANPUR
53,"UTTAR PRADESH",2001,UNNAO
27,"UTTAR PRADESH",2001,VARANASI
1958,"UTTAR PRADESH",2001,TOTAL
4,UTTARAKHAND,2001,ALMORA
1,UTTARAKHAND,2001,BAGESHWAR
3,UTTARAKHAND,2001,CHAMOLI
0,UTTARAKHAND,2001,CHAMPAWAT
12,UTTARAKHAND,2001,DEHRADUN
13,UTTARAKHAND,2001,HARIDWAR
5,UTTARAKHAND,2001,NAINITAL
7,UTTARAKHAND,2001,"PAURI GARHWAL"
7,UTTARAKHAND,2001,PITHORAGARH
2,UTTARAKHAND,2001,"RUDRA PRAYAG"
2,UTTARAKHAND,2001,"TEHRI GARHWAL"
10,UTTARAKHAND,2001,"UDHAMSINGH NAGAR"
8,UTTARAKHAND,2001,UTTARKASHI
74,UTTARAKHAND,2001,TOTAL
53,"WEST BENGAL",2001,"24 PARGANAS NORTH"
47,"WEST BENGAL",2001,"24 PARGANAS SOUTH"
0,"WEST BENGAL",2001,ASANSOL
26,"WEST BENGAL",2001,BANKURA
43,"WEST BENGAL",2001,BIRBHUM
46,"WEST BENGAL",2001,BURDWAN
36,"WEST BENGAL",2001,COOCHBEHAR
10,"WEST BENGAL",2001,"DAKSHIN DINAJPUR"
20,"WEST BENGAL",2001,DARJEELING
29,"WEST BENGAL",2001,HOOGHLY
2,"WEST BENGAL",2001,HOWRAH
7,"WEST BENGAL",2001,"HOWRAH CITY"
1,"WEST BENGAL",2001,"HOWRAH G.R.P."
54,"WEST BENGAL",2001,JALPAIGURI
19,"WEST BENGAL",2001,KOLKATA
40,"WEST BENGAL",2001,MALDA
84,"WEST BENGAL",2001,MIDNAPUR
66,"WEST BENGAL",2001,MURSHIDABAD
71,"WEST BENGAL",2001,NADIA
23,"WEST BENGAL",2001,PURULIA
1,"WEST BENGAL",2001,"SEALDAH G.R.P."
0,"WEST BENGAL",2001,"SILIGURI G.R.P."
31,"WEST BENGAL",2001,"UTTAR DINAJPUR"
709,"WEST BENGAL",2001,TOTAL
3,"A & N ISLANDS",2001,ANDAMAN
0,"A & N ISLANDS",2001,NICOBAR
3,"A & N ISLANDS",2001,TOTAL
18,CHANDIGARH,2001,CHANDIGARH
18,CHANDIGARH,2001,TOTAL
6,"D & N HAVELI",2001,"D and N HAVELI"
6,"D & N HAVELI",2001,TOTAL
0,"DAMAN & DIU",2001,DAMAN
0,"DAMAN & DIU",2001,DIU
0,"DAMAN & DIU",2001,TOTAL
28,DELHI,2001,CENTRAL
381,DELHI,2001,"DELHI UT TOTAL"
24,DELHI,2001,EAST
1,DELHI,2001,G.R.P.(RLY)
0,DELHI,2001,"I.G.I. AIRPORT"
9,DELHI,2001,"NEW DELHI"
28,DELHI,2001,NORTH
36,DELHI,2001,"NORTH EAST"
103,DELHI,2001,"NORTH WEST"
0,DELHI,2001,S.T.F.
65,DELHI,2001,SOUTH
42,DELHI,2001,"SOUTH WEST"
45,DELHI,2001,WEST
0,LAKSHADWEEP,2001,LAKSHADWEEP
0,LAKSHADWEEP,2001,TOTAL
9,PUDUCHERRY,2001,PONDICHERRY
9,PUDUCHERRY,2001,TOTAL
37,"ANDHRA PRADESH",2002,ADILABAD
28,"ANDHRA PRADESH",2002,ANANTAPUR
28,"ANDHRA PRADESH",2002,CHITTOOR
16,"ANDHRA PRADESH",2002,CUDDAPAH
25,"ANDHRA PRADESH",2002,"EAST GODAVARI"
1,"ANDHRA PRADESH",2002,"GUNTAKAL RLY."
46,"ANDHRA PRADESH",2002,GUNTUR
57,"ANDHRA PRADESH",2002,"HYDERABAD CITY"
99,"ANDHRA PRADESH",2002,KARIMNAGAR
48,"ANDHRA PRADESH",2002,KHAMMAM
41,"ANDHRA PRADESH",2002,KRISHNA
45,"ANDHRA PRADESH",2002,KURNOOL
85,"ANDHRA PRADESH",2002,MAHABOOBNAGAR
68,"ANDHRA PRADESH",2002,MEDAK
41,"ANDHRA PRADESH",2002,NALGONDA
46,"ANDHRA PRADESH",2002,NELLORE
35,"ANDHRA PRADESH",2002,NIZAMABAD
21,"ANDHRA PRADESH",2002,PRAKASHAM
49,"ANDHRA PRADESH",2002,"RANGA REDDY"
0,"ANDHRA PRADESH",2002,"SECUNDERABAD RLY."
14,"ANDHRA PRADESH",2002,SRIKAKULAM
31,"ANDHRA PRADESH",2002,VIJAYAWADA
1,"ANDHRA PRADESH",2002,"VIJAYAWADA RLY."
14,"ANDHRA PRADESH",2002,"VISAKHA RURAL"
8,"ANDHRA PRADESH",2002,VISAKHAPATNAM
12,"ANDHRA PRADESH",2002,VIZIANAGARAM
52,"ANDHRA PRADESH",2002,WARANGAL
54,"ANDHRA PRADESH",2002,"WEST GODAVARI"
1002,"ANDHRA PRADESH",2002,TOTAL
3,"ARUNACHAL PRADESH",2002,CHANGLANG
5,"ARUNACHAL PRADESH",2002,"DIBANG VALLEY"
1,"ARUNACHAL PRADESH",2002,"KAMENG EAST"
0,"ARUNACHAL PRADESH",2002,"KAMENG WEST"
3,"ARUNACHAL PRADESH",2002,LOHIT
3,"ARUNACHAL PRADESH",2002,"PAPUM PARE"
11,"ARUNACHAL PRADESH",2002,"SIANG EAST"
3,"ARUNACHAL PRADESH",2002,"SIANG UPPER"
4,"ARUNACHAL PRADESH",2002,"SIANG WEST"
1,"ARUNACHAL PRADESH",2002,"SUBANSIRI LOWER"
2,"ARUNACHAL PRADESH",2002,"SUBANSIRI UPPER"
1,"ARUNACHAL PRADESH",2002,TAWANG
1,"ARUNACHAL PRADESH",2002,TIRAP
38,"ARUNACHAL PRADESH",2002,TOTAL
55,ASSAM,2002,BARPETA
21,ASSAM,2002,BONGAIGAON
0,ASSAM,2002,C.I.D.
71,ASSAM,2002,CACHAR
33,ASSAM,2002,DARRANG
48,ASSAM,2002,DHEMAJI
46,ASSAM,2002,DHUBRI
45,ASSAM,2002,DIBRUGARH
0,ASSAM,2002,G.R.P.
40,ASSAM,2002,GOALPARA
42,ASSAM,2002,GOLAGHAT
60,ASSAM,2002,"GUWAHATI CITY"
24,ASSAM,2002,HAILAKANDI
36,ASSAM,2002,JORHAT
41,ASSAM,2002,KAMRUP
5,ASSAM,2002,"KARBI ANGLONG"
23,ASSAM,2002,KARIMGANJ
15,ASSAM,2002,KOKRAJHAR
69,ASSAM,2002,LAKHIMPUR
40,ASSAM,2002,MORIGAON
2,ASSAM,2002,N.C.HILLS
61,ASSAM,2002,NAGAON
27,ASSAM,2002,NALBARI
1,ASSAM,2002,R.P.O.
57,ASSAM,2002,SIBSAGAR
67,ASSAM,2002,SONITPUR
41,ASSAM,2002,TINSUKIA
970,ASSAM,2002,TOTAL
101,BIHAR,2002,ARARIA
0,BIHAR,2002,ARWAL
12,BIHAR,2002,AURANGABAD
23,BIHAR,2002,BAGAHA
27,BIHAR,2002,BANKA
20,BIHAR,2002,BEGUSARAI
55,BIHAR,2002,BETTIAH
17,BIHAR,2002,BHABHUA
40,BIHAR,2002,BHAGALPUR
17,BIHAR,2002,BHOJPUR
17,BIHAR,2002,BUXAR
52,BIHAR,2002,DARBHANGA
31,BIHAR,2002,GAYA
16,BIHAR,2002,GOPALGANJ
0,BIHAR,2002,"JAMALPUR RLY."
15,BIHAR,2002,JAMUI
7,BIHAR,2002,JEHANABAD
77,BIHAR,2002,KATIHAR
2,BIHAR,2002,"KATIHAR RLY."
15,BIHAR,2002,KHAGARIA
20,BIHAR,2002,KISHANGANJ
2,BIHAR,2002,LAKHISARAI
10,BIHAR,2002,MADHEPURA
31,BIHAR,2002,MADHUBANI
41,BIHAR,2002,MOTIHARI
11,BIHAR,2002,MUNGER
60,BIHAR,2002,MUZAFFARPUR
2,BIHAR,2002,"MUZAFFARPUR RLY."
32,BIHAR,2002,NALANDA
11,BIHAR,2002,NAUGACHIA
34,BIHAR,2002,NAWADAH
37,BIHAR,2002,PATNA
2,BIHAR,2002,"PATNA RLY."
46,BIHAR,2002,PURNEA
15,BIHAR,2002,ROHTAS
11,BIHAR,2002,SAHARSA
22,BIHAR,2002,SAMASTIPUR
12,BIHAR,2002,SARAN
6,BIHAR,2002,SHEIKHPURA
14,BIHAR,2002,SHEOHAR
31,BIHAR,2002,SITAMARHI
8,BIHAR,2002,SIWAN
22,BIHAR,2002,SUPAUL
16,BIHAR,2002,VAISHALI
1040,BIHAR,2002,TOTAL
30,CHHATTISGARH,2002,BALRAMPUR
72,CHHATTISGARH,2002,BILASPUR
7,CHHATTISGARH,2002,BIZAPUR
9,CHHATTISGARH,2002,DANTEWARA
26,CHHATTISGARH,2002,DHAMTARI
132,CHHATTISGARH,2002,DURG
5,CHHATTISGARH,2002,"GRP RAIPUR"
46,CHHATTISGARH,2002,JAGDALPUR
42,CHHATTISGARH,2002,JANJGIR
35,CHHATTISGARH,2002,JASHPUR
20,CHHATTISGARH,2002,KABIRDHAM
37,CHHATTISGARH,2002,KANKER
38,CHHATTISGARH,2002,KORBA
58,CHHATTISGARH,2002,KORIYA
33,CHHATTISGARH,2002,MAHASAMUND
39,CHHATTISGARH,2002,RAIGARH
159,CHHATTISGARH,2002,RAIPUR
62,CHHATTISGARH,2002,RAJNANDGAON
142,CHHATTISGARH,2002,SARGUJA
992,CHHATTISGARH,2002,TOTAL
9,GOA,2002,"NORTH GOA"
3,GOA,2002,"SOUTH GOA"
12,GOA,2002,TOTAL
12,GUJARAT,2002,"AHMEDABAD COMMR."
7,GUJARAT,2002,"AHMEDABAD RURAL"
4,GUJARAT,2002,AHWA-DANG
4,GUJARAT,2002,AMRELI
8,GUJARAT,2002,ANAND
7,GUJARAT,2002,BHARUCH
9,GUJARAT,2002,BHAVNAGAR
14,GUJARAT,2002,DAHOD
7,GUJARAT,2002,GANDHINAGAR
11,GUJARAT,2002,HIMATNAGAR
25,GUJARAT,2002,JAMNAGAR
10,GUJARAT,2002,JUNAGADH
9,GUJARAT,2002,"KHEDA NORTH"
3,GUJARAT,2002,KUTCH
13,GUJARAT,2002,MEHSANA
7,GUJARAT,2002,NARMADA
5,GUJARAT,2002,NAVSARI
16,GUJARAT,2002,PALANPUR
4,GUJARAT,2002,PANCHMAHAL
3,GUJARAT,2002,PATAN
4,GUJARAT,2002,PORBANDAR
6,GUJARAT,2002,"RAJKOT COMMR."
15,GUJARAT,2002,"RAJKOT RURAL"
18,GUJARAT,2002,"SURAT COMMR."
10,GUJARAT,2002,"SURAT RURAL"
13,GUJARAT,2002,SURENDRANAGAR
5,GUJARAT,2002,"VADODARA COMMR."
12,GUJARAT,2002,"VADODARA RURAL"
3,GUJARAT,2002,VALSAD
3,GUJARAT,2002,W.RLY
267,GUJARAT,2002,TOTAL
15,HARYANA,2002,AMBALA
17,HARYANA,2002,BHIWANI
37,HARYANA,2002,FARIDABAD
7,HARYANA,2002,FATEHABAD
1,HARYANA,2002,GRP
27,HARYANA,2002,GURGAON
15,HARYANA,2002,HISSAR
18,HARYANA,2002,JHAJJAR
19,HARYANA,2002,JIND
7,HARYANA,2002,KAITHAL
37,HARYANA,2002,KARNAL
15,HARYANA,2002,KURUKSHETRA
16,HARYANA,2002,MAHENDRAGARH
13,HARYANA,2002,PANCHKULA
43,HARYANA,2002,PANIPAT
10,HARYANA,2002,REWARI
17,HARYANA,2002,ROHTAK
20,HARYANA,2002,SIRSA
14,HARYANA,2002,SONIPAT
13,HARYANA,2002,YAMUNANAGAR
361,HARYANA,2002,TOTAL
9,"HIMACHAL PRADESH",2002,BILASPUR
16,"HIMACHAL PRADESH",2002,CHAMBA
0,"HIMACHAL PRADESH",2002,G.R.P.
3,"HIMACHAL PRADESH",2002,HAMIRPUR
14,"HIMACHAL PRADESH",2002,KANGRA
4,"HIMACHAL PRADESH",2002,KINNAUR
14,"HIMACHAL PRADESH",2002,KULLU
0,"HIMACHAL PRADESH",2002,LAHAUL-SPITI
24,"HIMACHAL PRADESH",2002,MANDI
27,"HIMACHAL PRADESH",2002,SHIMLA
11,"HIMACHAL PRADESH",2002,SIRMAUR
9,"HIMACHAL PRADESH",2002,SOLAN
6,"HIMACHAL PRADESH",2002,UNA
137,"HIMACHAL PRADESH",2002,TOTAL
16,"JAMMU & KASHMIR",2002,ANANTNAG
1,"JAMMU & KASHMIR",2002,AWANTIPORA
14,"JAMMU & KASHMIR",2002,BARAMULLA
5,"JAMMU & KASHMIR",2002,BORDER
12,"JAMMU & KASHMIR",2002,BUDGAM
0,"JAMMU & KASHMIR",2002,"CRIME JAMMU"
0,"JAMMU & KASHMIR",2002,"CRIME SRINAGAR"
15,"JAMMU & KASHMIR",2002,DODA
7,"JAMMU & KASHMIR",2002,GANDERBAL
0,"JAMMU & KASHMIR",2002,HANDWARA
7,"JAMMU & KASHMIR",2002,JAMMU
1,"JAMMU & KASHMIR",2002,KARGIL
11,"JAMMU & KASHMIR",2002,KATHUA
7,"JAMMU & KASHMIR",2002,KULGAM
5,"JAMMU & KASHMIR",2002,KUPWARA
3,"JAMMU & KASHMIR",2002,LEH
9,"JAMMU & KASHMIR",2002,POONCH
12,"JAMMU & KASHMIR",2002,PULWAMA
0,"JAMMU & KASHMIR",2002,RAILWAYS
13,"JAMMU & KASHMIR",2002,RAJOURI
7,"JAMMU & KASHMIR",2002,RAMBAN
8,"JAMMU & KASHMIR",2002,REASI
24,"JAMMU & KASHMIR",2002,SRINAGAR
15,"JAMMU & KASHMIR",2002,UDHAMPUR
192,"JAMMU & KASHMIR",2002,TOTAL
48,JHARKHAND,2002,BOKARO
37,JHARKHAND,2002,CHAIBASA
18,JHARKHAND,2002,CHATRA
37,JHARKHAND,2002,DEOGHAR
38,JHARKHAND,2002,DHANBAD
2,JHARKHAND,2002,"DHANBAD RLY."
50,JHARKHAND,2002,DUMKA
32,JHARKHAND,2002,GARHWA
39,JHARKHAND,2002,GIRIDIH
86,JHARKHAND,2002,GODDA
31,JHARKHAND,2002,GUMLA
71,JHARKHAND,2002,HAZARIBAGH
76,JHARKHAND,2002,JAMSHEDPUR
1,JHARKHAND,2002,"JAMSHEDPUR RLY."
25,JHARKHAND,2002,JAMTARA
6,JHARKHAND,2002,KODERMA
12,JHARKHAND,2002,LATEHAR
14,JHARKHAND,2002,LOHARDAGGA
37,JHARKHAND,2002,PAKUR
14,JHARKHAND,2002,PALAMU
55,JHARKHAND,2002,RANCHI
26,JHARKHAND,2002,SAHEBGANJ
26,JHARKHAND,2002,SARAIKELA
16,JHARKHAND,2002,SIMDEGA
797,JHARKHAND,2002,TOTAL
4,KARNATAKA,2002,BAGALKOT
32,KARNATAKA,2002,"BANGALORE COMMR."
22,KARNATAKA,2002,"BANGALORE RURAL"
6,KARNATAKA,2002,BELGAUM
11,KARNATAKA,2002,BELLARY
8,KARNATAKA,2002,BIDAR
3,KARNATAKA,2002,BIJAPUR
4,KARNATAKA,2002,CHAMARAJNAGAR
18,KARNATAKA,2002,CHICKMAGALUR
12,KARNATAKA,2002,CHITRADURGA
9,KARNATAKA,2002,"DAKSHIN KANNADA"
14,KARNATAKA,2002,DAVANAGERE
1,KARNATAKA,2002,"DHARWAD COMMR."
0,KARNATAKA,2002,"DHARWAD RURAL"
3,KARNATAKA,2002,GADAG
24,KARNATAKA,2002,GULBARGA
11,KARNATAKA,2002,HASSAN
2,KARNATAKA,2002,HAVERI
6,KARNATAKA,2002,K.G.F.
4,KARNATAKA,2002,KODAGU
18,KARNATAKA,2002,KOLAR
6,KARNATAKA,2002,KOPPAL
30,KARNATAKA,2002,MANDYA
7,KARNATAKA,2002,"MYSORE COMMR."
5,KARNATAKA,2002,"MYSORE RURAL"
6,KARNATAKA,2002,RAICHUR
0,KARNATAKA,2002,RAILWAYS
11,KARNATAKA,2002,SHIMOGA
9,KARNATAKA,2002,TUMKUR
