max(Dacoity),max(Robbery),DISTRICT
0,0,ADILABAD
0,0,ANANTAPUR
0,0,CHITTOOR
0,0,CUDDAPAH
0,0,"EAST GODAVARI"
0,0,"GUNTAKAL RLY."
0,0,GUNTUR
0,0,"HYDERABAD CITY"
0,1,KARIMNAGAR
0,0,KHAMMAM
0,1,KRISHNA
0,0,KURNOOL
0,0,MAHABOOBNAGAR
0,0,MEDAK
0,0,NALGONDA
0,0,NELLORE
0,1,NIZAMABAD
0,0,PRAKASHAM
0,0,"RANGA REDDY"
0,0,"SECUNDERABAD RLY."
0,0,SRIKAKULAM
0,0,VIJAYAWADA
0,0,"VIJAYAWADA RLY."
0,0,"VISAKHA RURAL"
0,0,VISAKHAPATNAM
0,0,VIZIANAGARAM
0,0,WARANGAL
0,0,"WEST GODAVARI"
29,34,TOTAL
0,0,CHANGLANG
0,0,"DIBANG VALLEY"
0,1,"KAMENG EAST"
0,0,"KAMENG WEST"
0,0,LOHIT
1,2,"PAPUM PARE"
0,0,"SIANG EAST"
0,0,"SIANG UPPER"
0,0,"SIANG WEST"
0,0,"SUBANSIRI LOWER"
0,0,"SUBANSIRI UPPER"
0,0,TAWANG
0,0,TIRAP
0,0,BARPETA
0,0,BONGAIGAON
0,0,C.I.D.
0,0,CACHAR
0,0,DARRANG
0,4,DHEMAJI
0,0,DHUBRI
1,3,DIBRUGARH
0,0,G.R.P.
0,0,GOALPARA
0,2,GOLAGHAT
0,0,"GUWAHATI CITY"
0,0,HAILAKANDI
0,0,JORHAT
0,0,KAMRUP
0,0,"KARBI ANGLONG"
0,0,KARIMGANJ
0,2,KOKRAJHAR
0,0,LAKHIMPUR
0,0,MORIGAON
0,0,"N.C. HILLS"
2,4,NAGAON
0,0,NALBARI
0,0,R.P.O.
0,0,SIBSAGAR
3,5,SONITPUR
0,0,TINSUKIA
0,0,ARARIA
0,0,ARWAL
0,0,AURANGABAD
0,0,BAGAHA
0,0,BANKA
0,0,BEGUSARAI
0,0,BETTIAH
0,0,BHABHUA
0,0,BHAGALPUR
0,0,BHOJPUR
0,0,BUXAR
0,0,DARBHANGA
0,0,GAYA
0,0,GOPALGANJ
0,0,"JAMALPUR RLY."
0,1,JAMUI
0,0,JEHANABAD
0,0,KATIHAR
0,0,"KATIHAR RLY."
0,0,KHAGARIA
0,0,KISHANGANJ
0,0,LAKHISARAI
0,0,MADHEPURA
0,0,MADHUBANI
0,0,MOTIHARI
0,0,MUNGER
0,0,MUZAFFARPUR
0,0,"MUZAFFARPUR RLY."
0,0,NALANDA
0,0,NAUGACHIA
0,0,NAWADAH
0,2,PATNA
0,0,"PATNA RLY."
0,0,PURNEA
0,0,ROHTAS
0,0,SAHARSA
0,0,SAMASTIPUR
0,0,SARAN
0,0,SHEIKHPURA
0,0,SHEOHAR
0,0,SITAMARHI
0,0,SIWAN
0,0,SUPAUL
0,0,VAISHALI
1,0,BALRAMPUR
0,1,BILASPUR
0,0,BIZAPUR
0,0,DANTEWARA
0,0,DHAMTARI
0,0,DURG
0,0,"GRP RAIPUR"
0,1,JAGDALPUR
0,1,JANJGIR
0,0,JASHPUR
9,0,KANKER
0,0,KORBA
0,0,KORIYA
0,1,MAHASAMUND
0,1,RAIGARH
1,4,RAIPUR
0,0,RAJNANDGAON
0,1,SARGUJA
0,0,"NORTH GOA"
0,0,"SOUTH GOA"
0,2,"AHMEDABAD COMMR."
0,0,"AHMEDABAD RURAL"
0,0,AHWA-DANG
0,1,AMRELI
0,0,ANAND
1,1,BHARUCH
0,0,BHAVNAGAR
29,32,DAHOD
0,0,GANDHINAGAR
1,1,HIMATNAGAR
0,0,JAMNAGAR
0,1,JUNAGADH
0,0,"KHEDA NORTH"
0,1,KUTCH
0,1,MEHSANA
0,1,NARMADA
0,0,NAVSARI
1,2,PALANPUR
0,0,PANCHMAHAL
0,1,PATAN
0,0,PORBANDAR
0,0,"RAJKOT COMMR."
0,0,"RAJKOT RURAL"
0,0,"SURAT COMMR."
1,1,"SURAT RURAL"
2,0,SURENDRANAGAR
1,0,"VADODARA COMMR."
0,0,"VADODARA RURAL"
0,0,VALSAD
0,0,W.RLY
0,0,AMBALA
0,0,BHIWANI
0,0,FARIDABAD
0,0,FATEHABAD
0,0,GRP
0,0,GURGAON
0,0,HISAR
0,0,JHAJJAR
0,0,JIND
0,0,KAITHAL
0,0,KARNAL
0,0,KURUKSHETRA
0,0,MAHENDERGARH
0,0,PANCHKULA
0,0,PANIPAT
0,0,REWARI
0,0,ROHTAK
0,0,SIRSA
0,0,SONIPAT
0,0,YAMUNANAGAR
0,0,CHAMBA
0,0,HAMIRPUR
0,0,KANGRA
1,0,KINNAUR
0,0,KULLU
0,0,LAHAUL-SPITI
0,0,MANDI
0,0,SHIMLA
0,0,SIRMAUR
0,0,SOLAN
0,0,UNA
0,0,ANANTNAG
0,0,AWANTIPORA
0,0,BARAMULLA
0,0,BORDER
0,0,BUDGAM
0,0,"CRIME JAMMU"
0,0,"CRIME SRINAGAR"
0,0,DODA
0,0,GANDERBAL
0,0,JAMMU
0,0,KARGIL
0,0,KATHUA
0,0,KULGAM
0,0,KUPWARA
0,0,LEH
0,0,POONCH
0,0,PULWAMA
0,0,RAILWAYS
0,0,RAJOURI
0,0,RAMBAN
0,0,REASI
0,0,SRINAGAR
0,0,UDHAMPUR
0,0,BOKARO
0,0,CHAIBASA
0,0,CHATRA
0,0,DEOGHAR
0,0,DHANBAD
0,0,"DHANBAD RLY."
0,0,DUMKA
2,1,GARHWA
0,0,GIRIDIH
0,0,GODDA
0,0,GUMALA
0,0,HAZARIBAGH
1,2,JAMSHEDPUR
0,0,"JAMSHEDPUR RLY."
0,0,JAMTARA
0,0,KODERMA
0,0,LATEHAR
3,2,LOHARDAGGA
0,0,PAKUR
0,0,PALAMU
1,3,RANCHI
1,1,SAHEBGANJ
0,0,SARAIKELA
0,1,SIMDEGA
0,0,BAGALKOT
0,0,"BANGALORE COMMR."
0,0,"BANGALORE RURAL"
0,0,BELGAUM
0,0,BELLARY
0,0,BIDAR
0,0,BIJAPUR
0,0,CHAMARAJNAGAR
0,0,CHICKMAGALUR
1,0,CHITRADURGA
0,0,"DAKSHIN KANNADA"
0,0,DAVANAGERE
0,0,"DHARWAD COMMR."
0,0,"DHARWAD RURAL"
0,0,GADAG
0,0,GULBARGA
0,0,HASSAN
0,0,HAVERI
0,0,K.G.F.
0,1,KODAGU
0,0,KOLAR
0,0,KOPPAL
0,0,MANDYA
0,0,"MYSORE COMMR."
0,0,"MYSORE RURAL"
0,2,RAICHUR
0,0,SHIMOGA
0,0,TUMKUR
0,0,UDUPI
1,0,"UTTAR KANNADA"
0,0,ALAPUZHA
0,0,CBCID
0,0,ERNAKULAM
0,0,IDUKKI
0,0,KANNUR
0,0,KASARGOD
0,0,KOLLAM
0,0,KOTTAYAM
0,0,KOZHIKODE
0,0,MALAPPURAM
0,0,PALAKKAD
0,0,PATHANAMTHITTA
0,0,THRISSUR
0,0,TRIVANDRUM
0,1,WAYANADU
0,0,BALAGHAT
0,0,BARWANI
0,0,BETUL
0,0,BHIND
0,0,BHOPAL
0,0,"BHOPAL RLY."
0,0,CHHATARPUR
0,0,CHHINDWARA
0,0,DAMOH
0,1,DATIYA
0,0,DEWAS
0,0,DHAR
1,0,DINDORI
1,1,GUNA
0,1,GWALIOR
0,1,HARDA
0,0,HOSHANGABAD
0,0,INDORE
0,0,"INDORE RLY."
0,1,JABALPUR
0,0,"JABALPUR RLY."
0,0,JHABUA
0,0,KATNI
0,0,KHANDWA
1,1,KHARGON
0,1,MANDLA
0,1,MANDSAUR
1,1,MORENA
0,0,NARSINGHPUR
0,0,NEEMUCH
0,1,PANNA
0,0,RAISEN
0,0,RAJGARH
0,0,RATLAM
0,2,REWA
0,0,SAGAR
0,1,SATNA
0,0,SEONI
0,1,SHAHDOL
0,0,SHAJAPUR
0,0,SHEOPUR
0,0,SHIVPURI
0,0,SIDHI
0,0,SIHORE
0,0,TIKAMGARH
0,1,UJJAIN
0,0,UMARIYA
0,0,VIDISHA
0,0,AHMEDNAGAR
0,0,AKOLA
0,0,"AMRAVATI COMMR."
0,1,"AMRAVATI RURAL"
0,0,"AURANGABAD COMMR."
0,1,"AURANGABAD RURAL"
1,0,BEED
0,0,BHANDARA
0,1,BULDHANA
0,0,CHANDRAPUR
2,1,DHULE
0,1,GADCHIROLI
0,1,GONDIA
1,1,HINGOLI
0,0,JALGAON
1,0,JALNA
0,0,KOLHAPUR
0,0,LATUR
0,0,MUMBAI
0,0,"MUMBAI RLY."
0,0,"NAGPUR COMMR."
0,0,"NAGPUR RLY."
0,0,"NAGPUR RURAL"
1,0,NANDED
1,1,NANDURBAR
0,0,"NASIK COMMR."
0,0,"NASIK RURAL"
0,0,"NAVI MUMBAI"
1,0,OSMANABAD
0,0,PARBHANI
0,0,"PUNE COMMR."
0,0,"PUNE RLY."
0,0,"PUNE RURAL"
0,1,RAIGAD
0,0,RATNAGIRI
0,0,SANGLI
1,0,SATARA
0,0,SINDHUDURG
0,0,"SOLAPUR COMMR."
0,1,"SOLAPUR RURAL"
1,0,"THANE COMMR."
2,1,"THANE RURAL"
0,0,WARDHA
1,0,WASHIM
0,0,YAVATMAL
0,0,BISHNUPUR
0,0,CHANDEL
0,0,CHURACHANDPUR
0,0,IMPHAL(EAST)
0,0,IMPHAL(WEST)
0,0,SENAPATI
0,0,TAMENGLONG
0,0,THOUBAL
0,0,UKHRUL
0,0,"GARO HILLS EAST"
0,0,"GARO HILLS SOUTH"
0,0,"GARO HILLS WEST"
0,0,"JAINTIA HILLS"
0,0,"KHASI HILLS EAST"
0,0,"KHASI HILLS WEST"
0,0,RI-BHOI
0,2,AIZAWL
0,0,CHAMPHAI
2,3,KOLASIB
1,0,LAWNGTLAI
0,0,LUNGLEI
0,0,MAMIT
0,0,SAIHA
0,0,SERCHHIP
0,0,DIMAPUR
0,0,KIPHIRE
6,18,KOHIMA
0,0,MOKOKCHUNG
4,3,MON
0,0,PEREN
6,1,PHEK
0,3,TUENSANG
2,2,WOKHA
0,2,ZUNHEBOTO
0,0,ANGUL
0,1,BALASORE
0,1,BARAGARH
0,0,BERHAMPUR
0,0,BHADRAK
1,7,BOLANGIR
0,0,BOUDH
0,0,CUTTACK
0,1,DEOGARH
1,0,DHENKANAL
0,0,GAJAPATI
0,0,GANJAM
0,0,JAGATSINGHPUR
0,0,JAJPUR
0,0,JHARSUGUDA
0,0,KALAHANDI
1,1,KANDHAMAL
0,0,KENDRAPARA
0,3,KEONJHAR
0,0,KHURDA
0,0,KORAPUT
0,1,MALKANGIR
0,0,MAYURBHANJ
0,0,NAYAGARH
1,3,NOWRANGPUR
0,2,NUAPADA
0,0,PURI
0,0,RAYAGADA
0,0,ROURKELA
0,1,SAMBALPUR
0,0,SONEPUR
0,0,SRP(CUTTACK)
0,0,SRP(ROURKELA)
0,0,SUNDARGARH
0,0,AMRITSAR
0,0,BARNALA
0,0,BATALA
0,0,BHATINDA
0,0,FARIDKOT
0,0,"FATEHGARH SAHIB"
0,0,FEROZEPUR
0,0,G.R.P
0,0,GURDASPUR
0,0,HOSHIARPUR
0,0,JAGRAON
0,0,JALANDHAR
0,0,KAPURTHALA
0,0,KHANNA
0,0,LUDHIANA
0,0,MAJITHA
0,0,MANSA
0,0,MOGA
0,0,MUKTSAR
0,0,"NAWAN SHAHR"
0,0,PATIALA
0,0,ROPAR
0,0,SANGRUR
0,0,"TARN TARAN"
0,0,AJMER
0,0,ALWAR
0,0,BANSWARA
0,0,BARAN
0,0,BARMER
0,0,BHARATPUR
0,0,BHILWARA
0,0,BIKANER
0,1,BUNDI
0,0,CHITTORGARH
0,0,CHURU
0,0,DAUSA
0,0,DHOLPUR
0,0,DUNGARPUR
0,0,GANGANAGAR
0,0,HANUMANGARH
0,0,JAIPUR
0,0,JAISALMER
0,0,JALORE
0,1,JHALAWAR
0,0,JHUNJHUNU
0,0,JODHPUR
0,0,KARAULI
0,0,KOTA
0,0,NAGAUR
0,1,PALI
0,0,RAJSAMAND
0,0,"SAWAI MADHOPUR"
0,0,SIKAR
0,1,SIROHI
0,1,TONK
0,1,UDAIPUR
0,1,EAST
0,0,NORTH
1,1,SOUTH
0,0,WEST
0,0,ARIYALUR
0,0,CHENGAI
0,0,CHENNAI
0,0,"CHENNAI RLY."
0,0,"COIMBATORE RURAL"
0,0,"COIMBATORE URBAN"
0,0,CUDDALORE
0,0,DHARMAPURI
0,0,DINDIGUL
0,0,ERODE
0,0,KANCHIPURAM
0,0,KANYAKUMARI
0,0,KARUR
0,0,"MADURAI RURAL"
0,0,"MADURAI URBAN"
0,0,NAGAPATTINAM
0,0,NAMAKKAL
0,0,NILGIRIS
0,0,PERAMBALUR
0,0,PUDUKOTTAI
0,0,RAMNATHAPURAM
0,0,"SALEM RURAL"
0,0,"SALEM URBAN"
0,0,SIVAGANGAI
0,0,THANJAVUR
0,0,THENI
0,0,"THIRUNELVELI RURAL"
0,0,"THIRUNELVELI URBAN"
0,0,THIRUVALLUR
0,0,THIRUVANNAMALAI
0,0,THIRUVARUR
0,0,THOOTHUGUDI
0,0,"TRICHY RLY."
0,0,"TRICHY RURAL"
0,0,"TRICHY URBAN"
0,0,VELLORE
0,0,VILLUPURAM
0,0,VIRUDHUNAGAR
0,0,DHALAI
0,0,AGRA
0,0,ALIGARH
0,0,ALLAHABAD
0,0,"AMBEDKAR NAGAR"
0,0,AURAIYA
0,0,AZAMGARH
0,0,BADAUN
0,0,BAGHPAT
0,0,BAHRAICH
0,0,BALLIA
0,0,BANDA
0,0,BARABANKI
0,0,BAREILLY
0,0,BASTI
0,0,BIJNOR
0,0,BULANDSHAHAR
0,0,CHANDOLI
0,0,"CHITRAKOOT DHAM"
0,0,DEORIA
0,0,ETAH
0,0,ETAWAH
0,0,FAIZABAD
0,0,FATEHGARH
0,0,FATEHPUR
0,0,FIROZABAD
0,0,"GAUTAMBUDH NAGAR"
0,0,GHAZIABAD
0,0,GHAZIPUR
0,0,GONDA
0,0,GORAKHPUR
0,0,HARDOI
0,0,HATHRAS
0,0,J.P.NAGAR
0,0,JALAUN
0,0,JAUNPUR
0,0,JHANSI
0,0,KANNAUJ
0,0,"KANPUR DEHAT"
0,0,"KANPUR NAGAR"
0,0,KAUSHAMBI
0,0,KHIRI
0,0,"KUSHI NAGAR"
0,0,LALITPUR
0,0,LUCKNOW
0,0,MAHARAJGANJ
0,0,MAHOBA
0,0,MAINPURI
0,0,MATHURA
0,0,MAU
0,0,MEERUT
0,0,MIRZAPUR
0,0,MORADABAD
0,0,MUZAFFARNAGAR
0,0,PILIBHIT
0,0,PRATAPGARH
0,0,RAIBAREILLY
0,0,RAMPUR
0,0,SAHARANPUR
0,0,"SANT KABIRNAGAR"
0,0,SHAHJAHANPUR
0,0,SHRAWASTI
0,0,SIDHARTHNAGAR
0,0,SITAPUR
0,0,SONBHADRA
0,0,ST.RAVIDASNAGAR
0,0,SULTANPUR
0,0,UNNAO
0,0,VARANASI
0,0,ALMORA
0,0,BAGESHWAR
0,0,CHAMOLI
0,0,CHAMPAWAT
0,0,DEHRADUN
0,0,HARIDWAR
0,0,NAINITAL
0,0,"PAURI GARHWAL"
0,0,PITHORAGARH
0,0,"RUDRA PRAYAG"
0,0,"TEHRI GARHWAL"
0,0,"UDHAMSINGH NAGAR"
0,0,UTTARKASHI
0,0,"24 PARGANAS NORTH"
0,0,"24 PARGANAS SOUTH"
0,0,ASANSOL
0,0,BANKURA
0,0,BIRBHUM
0,0,BURDWAN
0,0,COOCHBEHAR
0,0,"DAKSHIN DINAJPUR"
0,0,DARJEELING
0,0,HOOGHLY
0,0,HOWRAH
0,0,"HOWRAH CITY"
0,0,"HOWRAH G.R.P."
0,0,JALPAIGURI
0,0,KOLKATA
0,0,MALDA
0,0,MIDNAPUR
0,0,MURSHIDABAD
0,0,NADIA
0,0,PURULIA
0,0,"SEALDAH G.R.P."
0,0,"SILIGURI G.R.P."
0,0,"UTTAR DINAJPUR"
0,0,ANDAMAN
0,0,NICOBAR
0,0,CHANDIGARH
0,0,"D and N HAVELI"
0,0,DAMAN
0,0,DIU
0,0,CENTRAL
0,0,G.R.P.(RLY)
0,0,I.G.I.AIRPORT
0,0,"NEW DELHI"
0,0,"NORTH EAST"
0,0,"NORTH WEST"
0,0,S.T.F.
0,0,"SOUTH WEST"
0,0,LAKSHADWEEP
0,0,PONDICHERRY
5,2,N.C.HILLS
0,0,KABIRDHAM
0,0,HISSAR
0,0,MAHENDRAGARH
0,0,HANDWARA
0,4,GUMLA
0,0,"KHARAGPUR G.R.P."
0,0,"PASCHIM MIDNAPUR"
0,0,"PURAB MIDNAPUR"
0,0,DRP
0,0,"IGI AIRPORT"
0,0,NORTH-EAST
0,0,NORTH-WEST
0,0,SOUTH-WEST
0,0,"SPL CELL"
0,0,STF
0,0,CYBERABAD
0,0,K/KUMEY
0,0,"UPPER DIBANG VALLEY"
0,0,NARAYANPUR
0,0,"ERNAKULAM COMMR."
0,0,"ERNAKULAM RURAL"
0,0,"KOZHIKODE COMMR."
0,0,"KOZHIKODE RURAL"
0,0,"TRIVANDRUM COMMR."
0,0,"TRIVANDRUM RURAL"
1,1,ANUPPUR
1,0,"ASHOK NAGAR"
0,0,BURHANPUR
0,0,GRP(RLY)
0,0,FEROZPUR
0,0,KRISHNAGIRI
0,0,BASKA
0,0,CHIRANG
0,3,UDALGURI
0,0,SURAJPUR
0,0,MEWAT
0,0,VILUPPURAM
0,0,"VIJAYAWADA CITY"
0,0,PALWAL
0,0,"BORDER DISTRICT"
0,0,"MUMBAI COMMR."
0,0,"IMPHAL EAST"
0,0,"IMPHAL WEST"
0,0,"SAS NGR"
0,0,"JAIPUR EAST"
0,0,"JAIPUR NORTH"
0,0,"JAIPUR RURAL"
0,0,"JAIPUR SOUTH"
0,0,"JODHPUR CITY"
0,0,"JODHPUR RURAL"
0,0,"KOTA CITY"
0,0,"KOTA RURAL"
0,0,KARAIKAL
3,0,KHUNTI
0,0,RAMGARH
0,0,LONGLENG
0,0,"AMRITSAR RURAL"
0,0,"A and N ISLANDS"
0,0,OUTER
0,0,DANTEWADA
0,0,TAPI
0,0,BANDIPORA
0,0,KISHTWAR
0,0,SAMBA
0,0,SHOPIAN
0,0,CBPURA
0,0,RAMANAGAR
0,0,ALIRAJPUR
0,0,SINGRAULI
0,0,CID
0,0,"DCP BBSR"
0,0,"DCP CTC"
0,0,"LUDHIANA RURAL"
0,0,"SBS NAGAR"
0,0,CHENNAISUBURBAN
0,0,"KANSHIRAM NAGAR"
0,0,CAW
0,0,"CRIME BRANCH"
0,0,EOW
0,0,SOUTH-EAST
0,0,PUDUCHERRY
0,0,ANJAW
0,0,BADDIPOLICEDIST
0,0,"RAILWAYS KMR"
0,0,TIRUPPUR
0,0,"GUNTUR URBAN"
0,0,RAJAHMUNDRY
0,0,"TIRUPATHI URBAN"
0,0,"WARANGAL URBAN"
0,0,RURAL
0,0,"CID CRIME"
0,0,C.B.KASHMIR
0,0,RAILWAYSKMR
0,0,SOPORE
0,0,YADGIRI
0,0,"CP AMRITSAR"
0,0,"CP JALANDHAR"
0,0,"CP LUDHIANA"
0,0,"JALANDHAR RURAL"
0,0,"G.R.P. AJMER"
0,0,"G.R.P. JODHPUR"
0,0,"CSM NAGAR"
0,0,"RAMABAI NAGAR"
0,0,GARIYABAND
0,0,"KUTCH (EAST(G))"
0,0,"KUTCH (WEST-BHUJ)"
0,0,"W.RLY AHMEDABAD"
0,0,"W.RLY VADODARA"
0,0,"RAILWAYS JAMMU"
0,0,"RAILWAYS KASHMIR"
0,0,"MANGALORE CITY"
0,0,"KOLLAM COMMR."
0,0,"KOLLAM RURAL"
0,0,"THRISSUR COMMR."
0,0,"THRISSUR RURAL"
0,0,FAZILKA
0,0,PATHANKOT
0,0,G.R.P.AJMER
0,0,G.R.P.JODHPUR
0,0,"JAIPUR WEST"
0,0,"BHIM NAGAR"
0,0,"PANCHSHIL NAGAR"
0,0,"PRABUDDH NAGAR"
0,0,BAKSA
0,0,BIEO
0,0,HAMREN
0,0,BALOD
0,0,"BALODA BAZAR"
0,0,BEMETARA
0,0,KONDAGAON
0,0,MUNGELI
0,0,SUKMA
0,0,"AMBALA RURAL"
0,0,"AMBALA URBAN"
0,0,"RAILWAYS KATRA"
0,0,"JODHPUR EAST"
0,0,"JODHPUR WEST"
0,0,GOMATI
0,1,KHOWAI
0,0,SIPAHIJALA
0,0,UNAKOTI
0,0,"BDN CP"
0,0,"BKP CP"
0,0,JHARGRAM
0,0,SILIGURI_PC
0,0,CAR
